run,candles,episodes,trades,waits,long_trades,short_trades,total_reward,avg_reward,unique_symbols,symbol_density,tracked_families,active_trade_families,observation_families,family_compression,actionable_seen,correct_action_when_actionable,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,avg_observation_trade_signal,max_observation_trade_signal,avg_observation_trade_readiness,max_observation_trade_readiness,observation_learning_events,avg_observation_learning_pressure,max_observation_learning_pressure,trade_density,raw_trade_pressure,phase_suppressed,compressed_contacts,top_long_family,top_long_trust,top_long_count,top_short_family,top_short_trust,top_short_count,report_path
1,18,12,0,12,0,0,0.0,0.0,12,1.0,8,7,6,0.583333,11,0,0.000605,0.000933,0.008648,0.013333,0.008042,0.0124,0.000605,0.000933,0.0,0.0,0.0,0.0,10,0.008816,0.012727,0.0,0,0,0,dio_0byw,0.08,1,dio_0zlr,0.049196,1,debug\dio_mini_observation_maturity\referenz\dio_mini_lauf_1\mini_report.json
2,18,12,0,12,0,0,0.0,0.0,12,1.0,8,7,7,0.583333,11,0,0.01385,0.018112,0.013784,0.022275,0.002647,0.014626,0.011137,0.017,0.000644,0.001432,7.1e-05,0.000157,11,0.005775,0.012106,0.0,0,0,0,dio_0byw,0.1536,2,dio_0zlr,0.094456,2,debug\dio_mini_observation_maturity\referenz\dio_mini_lauf_2\mini_report.json
3,18,5,2,3,1,1,3.758544,0.751709,5,1.0,8,8,8,1.6,4,2,0.040517,0.066529,0.027949,0.03162,0.005617,0.028083,0.022332,0.03162,0.000519,0.001036,5.7e-05,0.000114,2,0.009162,0.009457,0.4,2,0,0,dio_0byw,0.408741,3,dio_14zx,0.379055,3,debug\dio_mini_observation_maturity\referenz\dio_mini_lauf_3\mini_report.json
4,18,4,2,2,1,1,2.686201,0.67155,4,1.0,8,8,8,2.0,3,2,0.081617,0.263833,0.045185,0.052435,0.019598,0.039622,0.025587,0.052435,0.00032,0.001022,3.5e-05,0.000112,1,0.040666,0.040666,0.5,2,0,0,dio_0byw,0.628163,4,dio_14zx,0.379055,3,debug\dio_mini_observation_maturity\referenz\dio_mini_lauf_4\mini_report.json
5,18,4,2,2,1,1,2.686201,0.67155,4,1.0,8,7,7,1.75,3,2,0.17644,0.534813,0.063704,0.09004,0.01953,0.056561,0.044174,0.09004,0.00118,0.003439,0.00013,0.000378,1,0.027547,0.027547,0.5,2,0,0,dio_0byw,0.816865,5,dio_14zx,0.379055,3,debug\dio_mini_observation_maturity\referenz\dio_mini_lauf_5\mini_report.json
6,18,4,2,2,1,1,2.686201,0.67155,4,1.0,8,7,7,1.75,3,2,0.296978,0.860072,0.090055,0.138095,0.019437,0.077748,0.070618,0.138095,0.001763,0.005769,0.000194,0.000635,1,0.016741,0.016741,0.5,3,1,1,dio_0byw,0.97915,6,dio_14zx,0.379055,3,debug\dio_mini_observation_maturity\referenz\dio_mini_lauf_6\mini_report.json
