family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_0byw,"1,2,3,4,5,6",6,1,6,0.166667,4,0,2,4,0,6,0,7.904152,1.317359,1,0.002331
dio_0lt6,"1,2,3,4,5,6",6,1,6,0.166667,0,3,3,0,3,0,6,2.130489,0.355081,3,0.00853
dio_11wp,"3,4,5,6",4,1,4,0.25,0,0,4,0,0,0,0,0.0,0.0,0,0.0
dio_14zx,"1,2,3",3,1,3,0.333333,0,1,2,0,1,0,3,1.782506,0.594169,2,0.005165
dio_0zlr,"1,2,3",3,1,3,0.333333,0,0,3,0,0,0,3,0.0,0.0,3,0.006492
dio_0v7w,"4,5,6",3,1,3,0.333333,0,0,3,0,1,0,3,0.0,0.0,3,0.028318
dio_0qyu,"1,2",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.008849
dio_1tki,"1,2",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.008296
dio_0xq8,"1,2",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.008499
dio_0nny,"1,2",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.009462
dio_12qo,"1,2",2,1,2,0.5,0,0,2,0,0,0,0,0.0,0.0,0,0.0
dio_1144,"1,2",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.005908
dio_0rej,"1,2",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.00581
dio_0w1v,"1,2",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.009317
