stability_kind,inner_state,contact_quality,count,reward_sum,best_reward_sum,avg_reward,families,actions
stable_state,inner_carried,positive_real_contact,1,1.384854,1.384854,1.384854,dio_0arw,LONG
stable_state,inner_unfinished,observed_potential,1,0.0,0.629146,0.0,dio_00qb,WAIT
transition_state,inner_carried,positive_real_contact,1,1.036659,1.036659,1.036659,dio_0t0v,LONG
start_state,inner_carried,positive_real_contact,1,0.894392,0.894392,0.894392,dio_1u7v,SHORT
transition_state,inner_open_observation,observed_potential,1,0.0,0.094515,0.0,dio_14xc,WAIT
transition_state,inner_unfinished,observed_potential,1,0.0,0.142483,0.0,dio_1vpi,WAIT
