compare_state,count,reward_delta,episode_delta,before_reward,after_reward,before_episode_count,after_episode_count,families
new_variant_trace,4,0.0,8,0.0,0.0,0,8,"dio_10kx:WAIT,dio_1f4v:WAIT,dio_1k0r:WAIT,dio_1vjg:WAIT"
same_variant_state,14,2.0,0,-3.0,-1.0,42,42,"dio_04zi:WAIT,dio_06bd:WAIT,dio_0cgn:WAIT,dio_0fa9:WAIT,dio_0ojr:WAIT,dio_0rb2:WAIT,dio_0vc8:WAIT,dio_1g7l:WAIT,dio_1jo7:WAIT,dio_1k0r:LONG,dio_1q9b:WAIT,dio_1qig:WAIT,dio_1t73:WAIT,dio_1w4m:WAIT"
