target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_1gp1,dio_0nmi,reifende_verwandtschaft,0.172683,0.827317,0.709061,6.770993,1,3,4,1,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"order_shift,sensor_relation_probe2"
dio_1tmf,dio_0x52,reifende_verwandtschaft,0.218903,0.781097,2.83212,3.99281,2,2,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1tmf,dio_14wi,reifende_verwandtschaft,0.224826,0.775174,2.83212,4.496005,2,2,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0y4s,dio_0nmi,reifende_verwandtschaft,0.371763,0.628237,1.045363,6.770993,1,3,4,1,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"order_shift,sensor_relation_probe2"
dio_1gp1,dio_09jn,reifende_verwandtschaft,0.436339,0.563661,0.709061,4.693512,1,3,15,5,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0y4s,dio_09jn,reifende_verwandtschaft,0.440929,0.559071,1.045363,4.693512,1,3,15,5,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_1gp1,dio_0x52,reifende_verwandtschaft,0.452691,0.547309,0.709061,3.99281,1,3,5,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0y4s,dio_14eb,reifende_verwandtschaft,0.48988,0.51012,1.045363,14.113418,1,3,10,2,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit"
dio_0ux2,dio_1tik,beobachtete_verwandtschaft,0.097089,0.902911,0.0,3.63996,0,4,8,4,held_observation_pattern,direct_mature_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat"
dio_0ux2,dio_0a54,beobachtete_verwandtschaft,0.161014,0.838986,0.0,3.445308,0,4,6,4,held_observation_pattern,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0ux2,dio_0nmi,beobachtete_verwandtschaft,0.402053,0.597947,0.0,6.770993,0,4,4,1,held_observation_pattern,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"order_shift,sensor_relation_probe2"
dio_1tmf,dio_0wv3,vorsichtige_verwandtschaft,0.195236,0.804764,2.83212,14.018907,2,2,17,3,local_observation_to_action,matured_action_pattern,sensor_relation_probe10_ferne_aehnlichkeit,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt,sensor_relation_probe8_negativkontakt_repeat,sensor_relation_probe9_aehnlichkeit"
