fragment_island_state,island_count,fragment_groups,island_symbols,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
passive_fragment_trace,2,all_shared_fragments|gained_shared_fragments,dio_fragment_island_0oue8eh|dio_fragment_island_1l1bst2,True,False,False,False,False,False,False,False
passive_fragment_island_shared_core,1,persistent_shared_core,dio_fragment_island_0qn0vkb,True,False,False,False,False,False,False,False
passive_fragment_island_target_expansion,1,target_only_new_fragments,dio_fragment_island_0g99myp,True,False,False,False,False,False,False,False
