cluster_candidate_state,cluster_count,families,passive_only,influences_action
not_cluster_candidate,11,dio_0x52+dio_0g0p|dio_0x52+dio_0gtz|dio_0x52+dio_0t0v|dio_0x52+dio_0u8u|dio_0x52+dio_0y8w|dio_0x52+dio_1361|dio_0x52+dio_14eb|dio_0x52+dio_14i8|dio_0x52+dio_1ayy|dio_0x52+dio_1rv1|dio_0x52+dio_1t1w,True,False
passive_cluster_candidate_weak_relation,3,dio_0x52+dio_0eh8|dio_0x52+dio_0hd3|dio_0x52+dio_0qze,True,False
passive_cluster_candidate_mixed_field_relation,1,dio_0x52+dio_0szn,True,False
