family,step_count,trend,reward_sum,state_path,action_path,path,passive_sentence
dio_0t0v,3,conflict_to_carried,2.909977,conflict -> observed -> carried,probe18_first:SHORT -> probe18_repeat1:WAIT -> probe18_repeat2:LONG,probe18_first:conflict -> probe18_repeat1:observed -> probe18_repeat2:carried,dio_0t0v: Konflikt wurde ueber Beobachtung/Erfahrung in Tragnaehe ueberfuehrt (conflict -> observed -> carried).
dio_0arw,3,flat,12.463686,carried -> carried -> carried,probe18_first:WAIT -> probe18_repeat1:LONG -> probe18_repeat2:LONG,probe18_first:carried -> probe18_repeat1:carried -> probe18_repeat2:carried,dio_0arw: bleibt ueber alle gelesenen Welten getragen (carried -> carried -> carried).
dio_1u7v,3,flat,8.049528,carried -> carried -> carried,probe18_first:WAIT -> probe18_repeat1:SHORT -> probe18_repeat2:SHORT,probe18_first:carried -> probe18_repeat1:carried -> probe18_repeat2:carried,dio_1u7v: bleibt ueber alle gelesenen Welten getragen (carried -> carried -> carried).
dio_0akd,1,flat,1.551314,carried,probe18_repeat1:LONG,probe18_repeat1:carried,dio_0akd: bleibt ueber alle gelesenen Welten getragen (carried).
dio_0ems,1,flat,1.304587,carried,probe18_first:WAIT,probe18_first:carried,dio_0ems: bleibt ueber alle gelesenen Welten getragen (carried).
dio_0120,2,flat,1.001079,carried -> carried,probe18_first:WAIT -> probe18_repeat1:LONG,probe18_first:carried -> probe18_repeat1:carried,dio_0120: bleibt ueber alle gelesenen Welten getragen (carried -> carried).
dio_0bmh,1,flat,0.817371,carried,probe18_first:LONG,probe18_first:carried,dio_0bmh: bleibt ueber alle gelesenen Welten getragen (carried).
dio_00qb,3,cooling,0.0,observed -> observed -> held,probe18_first:WAIT -> probe18_repeat1:WAIT -> probe18_repeat2:WAIT,probe18_first:observed -> probe18_repeat1:observed -> probe18_repeat2:held,"dio_00qb: zeigt einen offenen Reifeverlauf (observed -> observed -> held), reward_sum=0.000000."
dio_02qu,2,flat,0.0,observed -> observed,probe18_first:WAIT -> probe18_repeat1:WAIT,probe18_first:observed -> probe18_repeat1:observed,dio_02qu: bleibt stabil bei observed (observed -> observed).
dio_0fiy,1,flat,0.0,observed,probe18_first:WAIT,probe18_first:observed,dio_0fiy: bleibt stabil bei observed (observed).
dio_0igh,1,flat,0.0,observed,probe18_first:WAIT,probe18_first:observed,dio_0igh: bleibt stabil bei observed (observed).
dio_0x1o,1,flat,0.0,observed,probe18_first:WAIT,probe18_first:observed,dio_0x1o: bleibt stabil bei observed (observed).
dio_14xc,3,flat,0.0,observed -> observed -> observed,probe18_first:WAIT -> probe18_repeat1:WAIT -> probe18_repeat2:WAIT,probe18_first:observed -> probe18_repeat1:observed -> probe18_repeat2:observed,dio_14xc: bleibt stabil bei observed (observed -> observed -> observed).
dio_16yc,1,flat,0.0,observed,probe18_first:WAIT,probe18_first:observed,dio_16yc: bleibt stabil bei observed (observed).
dio_1g2t,1,flat,0.0,observed,probe18_first:WAIT,probe18_first:observed,dio_1g2t: bleibt stabil bei observed (observed).
dio_1qwp,1,flat,0.0,observed,probe18_first:WAIT,probe18_first:observed,dio_1qwp: bleibt stabil bei observed (observed).
dio_1vpi,3,conflict_to_caution,-1.712415,conflict -> conflict -> observed,probe18_first:SHORT -> probe18_repeat1:SHORT -> probe18_repeat2:WAIT,probe18_first:conflict -> probe18_repeat1:conflict -> probe18_repeat2:observed,dio_1vpi: Konflikt wurde in Beobachtung/Vorsicht ueberfuehrt (conflict -> conflict -> observed).
