transfer_reife_state,family_count,avg_transfer_reife,avg_similarity,same_action_count,same_outcome_count,families
transfer_reife_quiet_same_consequence,1,0.903487085,0.982860751,1,1,dio_14xc->dio_143d
transfer_reife_carried_same_consequence,1,0.90037238,0.737822053,1,1,dio_02qu->dio_1k7y
transfer_reife_open,3,0.471763151,0.917797766,0,0,"dio_0arw->dio_1d3r,dio_1txv->dio_1c6b,dio_1vpi->dio_1m4n"
