inner_map_transition_state,count,avg_score_delta,avg_stability_delta,avg_variation_delta,avg_drift_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
stable_same_inner_state,269,0.0,0.0,0.0,0.0,True,False,False,False,False,False,False,False
missing_in_right_inner_map,23,-0.207536232,-0.55,-0.083014493,0.0,True,False,False,False,False,False,False,False
new_in_right_inner_map,20,0.207666667,0.55,0.083066667,0.0,True,False,False,False,False,False,False,False
