world_label,symbol_family,reflection_context_symbol,episodes,trades,tp,sl,reward_sum,carried_count,cautious_count,avg_reflection_carry,avg_reflection_strain,avg_reflection_alignment,unloaded_count,avg_reflection_world_support,avg_reflection_current_support,avg_trade_readiness,avg_mini_neuro_balance,avg_observation_learning_pressure,max_reflection_carry,max_reflection_strain,last_context_state,last_symbol,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric
probe12,dio_0x52,dio_rctx_12k50p3,2,0,0,0,0.0,2,0,0.31443,0.22017,0.9590225,0,0.33287,0.2918925,0.049942,0.2008635,0.54093,0.315189,0.220436,reflection_context_carried,dio_0x52rrz,True,False,False,False,False
probe12,dio_0qze,dio_rctx_mm7i35,2,0,0,0,0.0,2,0,0.3138105,0.223413,0.96356,0,0.330209,0.2937685,0.050638,0.1875565,0.550569,0.314583,0.223684,reflection_context_carried,dio_0qze2dp,True,False,False,False,False
probe12,dio_0g0p,dio_rctx_1uihnyk,2,0,0,0,0.0,2,0,0.3028505,0.2512025,0.9861165,0,0.309098,0.2952145,0.0048825,0.0820035,0.648485,0.302988,0.251257,reflection_context_carried,dio_0g0pdn4,True,False,False,False,False
probe12,dio_1guc,dio_rctx_fmeyuj,2,0,0,0,0.0,2,0,0.3021055,0.246081,0.975688,0,0.313046,0.288734,0.061468,0.1017435,0.5470375,0.302106,0.246081,reflection_context_carried,dio_1guc9eq,True,False,False,False,False
probe12,dio_1ayy,dio_rctx_14bbb3j,2,0,0,0,0.0,2,0,0.301539,0.2525015,0.9853125,0,0.3081485,0.293461,0.0225215,0.077257,0.6209515,0.302412,0.252812,reflection_context_carried,dio_1ayyzfr,True,False,False,False,False
probe12,dio_14eb,dio_rctx_1bgyy7d,1,0,0,0,0.0,1,0,0.301077,0.25274,0.984815,0,0.30791,0.292725,0.017583,0.076064,0.625888,0.301077,0.25274,reflection_context_carried,dio_14ebdp0,True,False,False,False,False
probe12,dio_0y8w,dio_rctx_11vkrhx,2,0,0,0,0.0,2,0,0.2930075,0.257132,0.9726695,0,0.3053065,0.277976,0.021321,0.063046,0.5772525,0.293787,0.257409,reflection_context_carried,dio_0y8w6m7,True,False,False,False,False
probe12,dio_0u1i,dio_rctx_aaiz4k,2,1,1,0,1.0,2,0,0.286121,0.2541135,0.9146525,0,0.324527,0.23918,0.0665845,0.1591505,0.3038505,0.308612,0.258842,reflection_context_carried,dio_0u1izga,True,False,False,False,False
probe12,dio_0eh8,dio_rctx_z47pse,2,0,0,0,0.0,2,0,0.2759225,0.23732,0.9166195,0,0.313444,0.230063,0.0377795,0.1037325,0.423923,0.27652,0.237533,reflection_context_carried,dio_0eh8epc,True,False,False,False,False
probe12,dio_1361,dio_rctx_18okuy8,2,0,0,0,0.0,2,0,0.2646735,0.256064,0.9224795,0,0.299558,0.222037,0.01605,0.0343025,0.4485215,0.265302,0.256282,reflection_context_carried,dio_13618gk,True,False,False,False,False
probe12,dio_0ufv,dio_rctx_j8jc6i,1,0,0,0,0.0,1,0,0.26365,0.252636,0.913366,0,0.302635,0.216001,0.005043,0.049691,0.438282,0.26365,0.252636,reflection_context_carried,dio_0ufve6g,True,False,False,False,False
