summary_group,state,count,avg_family_stability,avg_score_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
anchor_exchange_state,lost_text_island,202,,,True,False,False,False,False,False,False,False
anchor_exchange_state,same_family_basis,91,,,True,False,False,False,False,False,False,False
anchor_exchange_state,new_text_island,83,,,True,False,False,False,False,False,False,False
anchor_exchange_state,anchor_expansion,12,,,True,False,False,False,False,False,False,False
anchor_exchange_state,anchor_thinning,7,,,True,False,False,False,False,False,False,False
anchor_exchange_state,anchor_exchange,3,,,True,False,False,False,False,False,False,False
totals,anchor_exchange,3,0.339869281,0.051693978,True,False,False,False,False,False,False,False
