observed_possible_action,source_count,sources,family_count,families,trace_count,potential_reward_sum,avg_observation_learning_pressure,passive_only
SHORT,2,"probe15,probe16",13,"dio_06bd,dio_0cgn,dio_0fa9,dio_0izw,dio_0ojr,dio_0rb2,dio_0vc8,dio_15ms,dio_173s,dio_1g7l,dio_1jo7,dio_1q9b,dio_1t73",39,35.938635,0.061424923,1
LONG,3,"probe15,probe16,probe18",9,"dio_04zi,dio_07rf,dio_0cgn,dio_0gmg,dio_14xc,dio_1mx2,dio_1pfo,dio_1qig,dio_1w4m",27,19.935315,0.060348296,1
