world,debug_root,memory_observations,memory_mean_avg_carry,memory_mean_avg_carried_cos,memory_best_max_carry,memory_best_max_carried_cos,memory_last_positive_carried_cos_family_count,memory_last_avg_readiness,episodes,families,trades,tp,sl,wait,reward_sum,tone_counts,avg_trade_readiness,max_trade_readiness,avg_observation_trade_readiness,max_observation_trade_readiness,avg_observation_learning_pressure,max_observation_learning_pressure,avg_mini_neuro_balance,max_mini_neuro_balance,avg_mini_neuro_support,max_mini_neuro_support,avg_mini_neuro_load,max_mini_neuro_load,avg_mini_temporal_trust_support,max_mini_temporal_trust_support,avg_mini_temporal_caution_support,max_mini_temporal_caution_support
probe17,debug\dio_mini_world_reife_stability_probe17,1,0.178789,0.27429,0.280315,0.995038,11,0.021341,18,18,1,1,0,17,1.0,"{""focus_tone"": 11, ""observation_tone"": 6, ""relief_tone"": 1}",0.044353,0.296235,0.031416,0.066266,0.400171,0.637749,0.084442,0.29859,0.295999,0.505586,0.211557,0.252605,0.0,0.0,0.72,0.72
probe18,debug\dio_mini_world_reife_stability_probe18,1,0.178385,0.269927,0.280197,0.99571,11,0.016962,18,18,1,1,0,17,1.0,"{""focus_tone"": 11, ""observation_tone"": 6, ""relief_tone"": 1}",0.057153,0.443445,0.035964,0.066266,0.400313,0.634464,0.090036,0.309875,0.298242,0.51549,0.208206,0.246253,0.0,0.0,0.72,0.72
conflict16,debug\dio_mini_world_reife_stability_conflict16,1,0.1344,-0.041084,0.260199,0.794854,7,0.015053,18,17,0,0,0,18,0.0,"{""focus_tone"": 10, ""observation_tone"": 8}",0.005163,0.009279,0.005048,0.008801,0.385567,0.639732,0.070889,0.302946,0.278157,0.405289,0.207268,0.273876,0.033839,0.609107,0.683077,0.72
