left_family,right_family,rank,distance,similarity,left_count,right_count,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,left_action,right_action,left_outcome,right_outcome,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_state_class,right_state_class,same_state_class,same_action,same_outcome,passive_only,left_sehen_form_flow,right_sehen_form_flow,left_sehen_form_stability,right_sehen_form_stability,left_sehen_form_change,right_sehen_form_change,left_hoeren_energy_tone,right_hoeren_energy_tone,left_hoeren_energy_shift,right_hoeren_energy_shift,left_fuehlen_mcm_coherence,right_fuehlen_mcm_coherence,left_fuehlen_mcm_tension,right_fuehlen_mcm_tension,left_fuehlen_mcm_asymmetry,right_fuehlen_mcm_asymmetry,kinship_sentence
dio_02qu,dio_173s,1,0.367471876,0.731276465,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.291659,-0.498013,0.0,0.0,0.29436,0.639093,0.053713,-0.197754,0.089286,-0.163551,0.38496,0.344629,0.192154,0.394477,0.251832,-0.158215,dio_02qu -> dio_173s: sensorische/MCM-Naehe=0.731276; links=- rechts=-; Aktion=LONG->WAIT.
dio_02qu,dio_0qze,2,0.425828931,0.701346409,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.291659,0.1638,0.0,1.0,0.29436,0.043443,0.053713,0.099138,0.089286,0.159292,0.38496,0.972241,0.192154,0.117385,0.251832,0.134013,dio_02qu -> dio_0qze: sensorische/MCM-Naehe=0.701346; links=- rechts=-; Aktion=LONG->WAIT.
dio_02qu,dio_1rv1,3,0.429652833,0.699470513,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.291659,0.07098,0.0,1.0,0.29436,0.14196,0.053713,0.055132,0.089286,0.202899,0.38496,0.984563,0.192154,0.075681,0.251832,0.114399,dio_02qu -> dio_1rv1: sensorische/MCM-Naehe=0.699471; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_173s,1,0.099447091,0.909548089,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,-0.498013,0.0,0.0,0.533785,0.639093,-0.00536,-0.197754,-0.059524,-0.163551,0.398499,0.344629,0.275533,0.394477,-0.134298,-0.158215,dio_0arw -> dio_173s: sensorische/MCM-Naehe=0.909548; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_0gmg,2,0.250989298,0.79936735,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,-0.74943,0.0,0.0,0.533785,0.854444,-0.00536,-0.213169,-0.059524,-0.463158,0.398499,0.340313,0.275533,0.541002,-0.134298,-0.307246,dio_0arw -> dio_0gmg: sensorische/MCM-Naehe=0.799367; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_0szn,3,0.460753966,0.684577981,3,3,3.0,3.0,3.0,3.0,LONG,SHORT,TP,TP,-,-,-,-,open,open,1,0,1,1,-0.447325,-0.021769,0.0,-1.0,0.533785,0.494599,-0.00536,-0.11057,-0.059524,0.088161,0.398499,-0.23096,0.275533,0.134718,-0.134298,0.124145,dio_0arw -> dio_0szn: sensorische/MCM-Naehe=0.684578; links=- rechts=-; Aktion=LONG->SHORT.
dio_14xc,dio_0hd3,1,0.03518422,0.966011634,3,3,0.0,3.0,0.0,3.0,WAIT,SHORT,NO_TRADE,TP,-,-,-,-,open,open,1,0,0,1,0.822477,0.800261,1.0,1.0,-0.169765,-0.143268,0.010545,0.09717,-0.130208,-0.136612,0.997047,0.972792,0.377032,0.399844,0.393802,0.38644,dio_14xc -> dio_0hd3: sensorische/MCM-Naehe=0.966012; links=- rechts=-; Aktion=WAIT->SHORT.
dio_14xc,dio_0b66,2,0.150333316,0.869313255,3,3,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,-,-,-,-,open,open,1,1,1,1,0.822477,0.747066,1.0,1.0,-0.169765,0.022727,0.010545,0.262675,-0.130208,0.122699,0.997047,0.926451,0.377032,0.427727,0.393802,0.448351,dio_14xc -> dio_0b66: sensorische/MCM-Naehe=0.869313; links=- rechts=-; Aktion=WAIT->WAIT.
dio_14xc,dio_1t1w,3,0.201923928,0.831999411,3,3,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,-,-,-,-,open,open,1,1,1,1,0.822477,0.622441,1.0,1.0,-0.169765,0.17935,0.010545,0.342776,-0.130208,0.074349,0.997047,0.904023,0.377032,0.434087,0.393802,0.406481,dio_14xc -> dio_1t1w: sensorische/MCM-Naehe=0.831999; links=- rechts=-; Aktion=WAIT->WAIT.
dio_1txv,dio_1rv1,1,0.045499785,0.95648035,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,0.07098,1.0,1.0,0.065244,0.14196,0.039728,0.055132,0.133333,0.202899,0.988876,0.984563,0.040826,0.075681,0.060594,0.114399,dio_1txv -> dio_1rv1: sensorische/MCM-Naehe=0.956480; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1txv,dio_0qze,2,0.064628479,0.939294805,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,0.1638,1.0,1.0,0.065244,0.043443,0.039728,0.099138,0.133333,0.159292,0.988876,0.972241,0.040826,0.117385,0.060594,0.134013,dio_1txv -> dio_0qze: sensorische/MCM-Naehe=0.939295; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1txv,dio_1t1w,3,0.303668383,0.767066236,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,0.622441,1.0,1.0,0.065244,0.17935,0.039728,0.342776,0.133333,0.074349,0.988876,0.904023,0.040826,0.434087,0.060594,0.406481,dio_1txv -> dio_1t1w: sensorische/MCM-Naehe=0.767066; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1vpi,dio_0hd3,1,0.066296962,0.937825049,3,3,3.0,3.0,3.0,3.0,SHORT,SHORT,TP,TP,-,-,-,-,open,open,1,1,1,1,0.742634,0.800261,1.0,1.0,-0.089228,-0.143268,-0.052832,0.09717,-0.076923,-0.136612,0.985207,0.972792,0.348372,0.399844,0.379076,0.38644,dio_1vpi -> dio_0hd3: sensorische/MCM-Naehe=0.937825; links=- rechts=-; Aktion=SHORT->SHORT.
