symbol_family,passive_conflict_state,world_path,reward_path,conflict_worlds,positive_worlds,observed_worlds,conflict_count,positive_count,observed_count,conflict_reward_sum,positive_reward_sum,observed_best_reward_sum,conflict_avg_sehen_form_flow,positive_avg_sehen_form_flow,observed_avg_sehen_form_flow,conflict_avg_sehen_form_stability,positive_avg_sehen_form_stability,observed_avg_sehen_form_stability,conflict_avg_hoeren_energy_tone,positive_avg_hoeren_energy_tone,observed_avg_hoeren_energy_tone,conflict_avg_fuehlen_mcm_coherence,positive_avg_fuehlen_mcm_coherence,observed_avg_fuehlen_mcm_coherence,conflict_avg_fuehlen_mcm_tension,positive_avg_fuehlen_mcm_tension,observed_avg_fuehlen_mcm_tension
dio_0t0v,conflict_reorganized_to_carried,probe18_first:inner_carried/negative_real_contact -> probe18_repeat1:inner_carried/observed_potential -> probe18_repeat2:inner_carried/positive_real_contact,probe18_first:-1.236659 -> probe18_repeat1:0.000000 -> probe18_repeat2:4.146636,probe18_first,probe18_repeat2,probe18_repeat1,1,4,2,-1.236659,4.146636,2.073318,0.043335,0.043335,0.043335,-1.0,-1.0,-1.0,-0.093547,-0.093547,-0.093547,-0.226193,-0.226193,-0.226193,0.11288,0.11288,0.11288
dio_1vpi,conflict_to_observation,probe18_first:inner_cautious/negative_real_contact -> probe18_repeat1:inner_cautious/observed_potential -> probe18_repeat1:inner_cautious/negative_real_contact -> probe18_repeat2:inner_cautious/observed_potential,probe18_first:-1.027449 -> probe18_repeat1:0.000000 -> probe18_repeat1:-0.684966 -> probe18_repeat2:0.000000,"probe18_first,probe18_repeat1",,"probe18_repeat1,probe18_repeat2",5,0,6,-1.712415,0,0.854898,0.742634,0.0,0.742634,1.0,0.0,1.0,-0.052832,0.0,-0.052832,0.985207,0.0,0.985207,0.348372,0.0,0.348372
