phase,phase_run,global_run,data_path,candles,episodes,trades,long_trades,short_trades,waits,total_reward,avg_reward,unique_symbols,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,avg_observation_trade_signal,max_observation_trade_signal,avg_observation_trade_readiness,max_observation_trade_readiness,observation_learning_events,avg_observation_learning_pressure,max_observation_learning_pressure,top_long_family,top_long_trust,top_short_family,top_short_trust
sensor_relation_probe4_repeat,1,68,data\kontrolliert_sensor_relation_probe4_2episoden_5m_SOLUSDT.csv,24,6,3,1,2,3,2.000233,0.333372,6,0.112343,0.219913,0.06411,0.071378,0.004869,0.029216,0.059241,0.071378,0.005744,0.008665,0.000632,0.000953,3,0.028613,0.03807,dio_1lam,1.0,dio_0t45,1.0
sensor_relation_probe4_repeat,2,69,data\kontrolliert_sensor_relation_probe4_2episoden_5m_SOLUSDT.csv,24,6,3,1,2,3,2.000233,0.333372,6,0.173249,0.335322,0.06575,0.073345,0.003403,0.020419,0.062347,0.073345,0.006069,0.008665,0.000668,0.000953,3,0.027263,0.033015,dio_1lam,1.0,dio_0t45,1.0
sensor_relation_probe4_repeat,3,70,data\kontrolliert_sensor_relation_probe4_2episoden_5m_SOLUSDT.csv,24,6,3,1,2,3,2.000233,0.333372,6,0.20975,0.417167,0.067241,0.075634,0.002855,0.017133,0.064385,0.075634,0.006392,0.009418,0.000703,0.001036,3,0.027012,0.031416,dio_1lam,1.0,dio_0t45,1.0
sensor_relation_probe4_repeat,4,71,data\kontrolliert_sensor_relation_probe4_2episoden_5m_SOLUSDT.csv,24,6,3,1,2,3,2.000233,0.333372,6,0.240733,0.485576,0.068199,0.076872,0.002303,0.013818,0.065896,0.076872,0.006716,0.010331,0.000739,0.001136,3,0.026599,0.029632,dio_1lam,1.0,dio_0t45,1.0
