passive_inner_awareness_state,count,loaded_count,wait_count,long_count,short_count,tp_count,sl_count,no_trade_count,withheld_best_trade_count,acted_with_best_count,acted_against_best_count,reflection_context_carried_count,reflection_context_cautious_count,reflection_context_unloaded_count,reward_sum,avg_reward,avg_best_reward,avg_afterlook,avg_carry,avg_world_carry,family_count,families,runs,passive_only,influences_action
inner_overcautious_carrying_pressure,48,48,48,0,0,0,0,48,48,0,0,46,2,0,0.0,0.0,0.898324,0.898324,0.287443,0.091914,23,dio_05s4|dio_0avw|dio_0eh8|dio_0g0p|dio_0gtz|dio_0hd3|dio_0jco|dio_0qze|dio_0ufv|dio_0x52|dio_0y8w|dio_12jm|dio_1361|dio_13zu|dio_14eb|dio_14i8|dio_15ms|dio_199c|dio_1ayy|dio_1guc|dio_1jn5|dio_1k8m|dio_1wie,1|2,True,False
inner_cautious_potential,18,18,18,0,0,0,0,18,18,0,0,2,16,0,0.0,0.0,0.877804,0.889766,0.238558,0.0,9,dio_07rf|dio_0izw|dio_0szn|dio_0u8u|dio_14jl|dio_1d8w|dio_1g18|dio_1mpo|dio_1uv4,1|2,True,False
inner_action_withholding_split,4,4,4,0,0,0,0,4,4,0,0,4,0,0,0.0,0.0,1.0,1.0,0.290309,0.275784,1,dio_0u1i,1|2,True,False
inner_context_dependent_withholding,2,2,2,0,0,0,0,2,2,0,0,2,0,0,0.0,0.0,1.0,1.0,0.27592,0.086733,1,dio_0cgn,1|2,True,False
