tick,timestamp_ms,symbol,symbol_family,action,raw_action,phase_active,phase_distance,phase_age,episode_binding_pressure,episode_release_pressure,episode_relation,best_action_training,reward,best_reward_training,better_entry_training,score_wait,score_long,score_short,sehen_form_flow,sehen_form_stability,sehen_form_change,hoeren_energy_tone,hoeren_energy_shift,fuehlen_mcm_coherence,fuehlen_mcm_tension,fuehlen_mcm_asymmetry
1,1767240300000000,dio_0n4chhv,dio_0n4c,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.469492,99.82000000,0.050944,-0.078251,-0.078569,-0.066707,1.000000,-0.133413,0.038969,0.142857,0.989089,0.065730,-0.040804
2,1767240600000000,dio_0vyd4b0,dio_0vyd,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.635068,99.90000000,0.061802,-0.081898,-0.079919,-0.022236,-1.000000,0.222463,0.052217,0.068182,-0.214621,0.066864,0.054575
3,1767240900000000,dio_13wtv6z,dio_13wt,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,1.649650,100.02000000,0.058838,-0.080862,-0.077932,0.044471,-0.333333,0.155649,-0.067774,-0.285714,0.181023,0.072047,0.005117
4,1767241200000000,dio_1lz7raf,dio_1lz7,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.940618,99.30000000,0.066016,-0.084145,-0.083371,-0.355769,-1.000000,-0.829541,0.712391,1.000000,-0.399470,0.581354,-0.198320
5,1767241500000000,dio_1at751v,dio_1at7,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,SHORT,0.000000,0.170508,98.58000000,0.067571,-0.084351,-0.083506,-0.690131,-1.000000,-0.613198,0.433933,0.000000,-0.321501,0.570219,-0.533641
6,1767241800000000,dio_07mfifw,dio_07mf,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.308413,97.94000000,0.061403,-0.084130,-0.083387,-1.000000,0.000000,-0.230683,0.241370,-0.056818,0.332416,0.558285,-0.626728
7,1767242100000000,dio_0uctcgp,dio_0uct,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.956362,97.82000000,0.054722,-0.082794,-0.082595,-1.000000,1.000000,0.639474,-0.085677,-0.388601,0.976010,0.558300,-0.484247
8,1767242400000000,dio_179omz0,dio_179o,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.431863,97.92000000,0.061305,-0.082756,-0.083316,-0.772071,0.000000,0.667965,-0.333679,-0.376884,0.306570,0.571289,-0.347425
9,1767242700000000,dio_18wfkqr,dio_18wf,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.837589,98.06000000,0.065009,-0.082450,-0.082860,-0.293050,-1.000000,0.406828,-0.287629,0.000000,-0.280536,0.308978,-0.066469
10,1767243000000000,dio_081d3sf,dio_081d,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.765798,98.26000000,0.057949,-0.079973,-0.081491,0.181517,0.000000,0.181182,-0.167233,0.072993,0.353175,0.175464,0.159732
11,1767243300000000,dio_0irs3x1,dio_0irs,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,1.542620,98.42000000,0.051118,-0.078198,-0.077797,0.340762,1.000000,0.014571,0.014472,0.133929,0.995948,0.151530,0.221109
12,1767243600000000,dio_0oiocfh,dio_0oio,WAIT,WAIT,0,1.000000,9999,0.000000,1.000000,none,LONG,0.000000,0.959964,99.06000000,0.052952,-0.074729,-0.082066,0.646786,1.000000,0.533726,0.434844,0.819672,0.878244,0.539681,0.654229
