symbol_family,maturation_state,stability_label,count,run_count,runs,reward_sum,event_reward_sum,avg_reward,avg_dominant_share,dominant_binding_state,dominant_inner_state,dominant_contact_state,dominant_action,dominant_outcome_event,dominant_sight_state,dominant_hearing_state,dominant_feeling_state,maturation_sentence,passive_only
dio_0rb2,maturation_quiet_observation,multisensory_stable_repeat,3,3,"153,154,155",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,"dio_0rb2: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_inkoharent; Runs=153,154,155.",1
dio_0vc8,maturation_quiet_observation,multisensory_stable_repeat,3,3,"153,154,155",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,"dio_0vc8: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_bewegte_form, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=153,154,155.",1
dio_1g7l,maturation_quiet_observation,multisensory_stable_repeat,3,3,"153,154,155",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_dunkle_spannung,fuehlen_inkoharent,"dio_1g7l: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_inkoharent; Runs=153,154,155.",1
dio_1jo7,maturation_quiet_observation,multisensory_stable_repeat,3,3,"153,154,155",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,"dio_1jo7: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_inkoharent; Runs=153,154,155.",1
dio_1q9b,maturation_quiet_observation,multisensory_stable_repeat,3,3,"153,154,155",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,"dio_1q9b: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_inkoharent; Runs=153,154,155.",1
dio_1qig,maturation_quiet_observation,multisensory_stable_repeat,3,3,"153,154,155",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,"dio_1qig: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_leise, Fuehlen=fuehlen_koharent_gespannt; Runs=153,154,155.",1
dio_1t73,maturation_quiet_observation,multisensory_stable_repeat,3,3,"153,154,155",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_dunkle_spannung,fuehlen_offen,"dio_1t73: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_teilform, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_offen; Runs=153,154,155.",1
dio_1w4m,maturation_quiet_observation,multisensory_stable_repeat,3,3,"153,154,155",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_helle_spannung,fuehlen_offen,"dio_1w4m: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_teilform, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_offen; Runs=153,154,155.",1
dio_0c6o,maturation_stable_conflicted_burden,multisensory_stable_repeat,3,3,"153,154,155",-3.0,-3.0,-1.0,1.0,multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,LONG,SL,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,"dio_0c6o: stabile widerspruechlich-belastende Wiederkehr; multisensory_conflicted_burden; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_koharent_ruhig; reward_sum=-3.000000; Runs=153,154,155.",1
dio_1k0r,maturation_stable_conflicted_burden,multisensory_stable_repeat,3,3,"153,154,155",-3.0,-3.0,-1.0,1.0,multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,LONG,SL,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,"dio_1k0r: stabile widerspruechlich-belastende Wiederkehr; multisensory_conflicted_burden; Sehen=sehen_teilform, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_offen; reward_sum=-3.000000; Runs=153,154,155.",1
