source_label,symbol_family,action,family_action,passive_wait_traces,passive_potential_sum,avg_passive_pressure,real_action_traces,tp_count,sl_count,no_trade_count,other_outcome_count,real_reward_sum,event_reward_sum,passive_runs,action_runs,bridge_state,passive_only,avg_sehen_form_flow,avg_sehen_form_stability,avg_sehen_form_change,avg_hoeren_energy_tone,avg_hoeren_energy_shift,avg_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension,avg_fuehlen_mcm_asymmetry
probe15,dio_0x52,SHORT,dio_0x52:SHORT,0,0.0,0.0,3,0,3,0,0,-3.0,-3.0,,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",acted_without_passive_trace,1,0.146987,1.0,0.076034,0.133722,0.272727,0.962558,0.130063,0.155106
probe15,dio_1g18,SHORT,dio_1g18:SHORT,0,0.0,0.0,3,3,0,0,0,3.0,3.0,,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",acted_without_passive_trace,1,0.005433,-1.0,0.460892,-0.12741,0.037406,-0.235675,0.129537,0.121138
probe15,dio_07rf,LONG,dio_07rf:LONG,3,0.862068,0.060098667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.639125,0.0,-0.394091,0.132211,0.218391,0.362981,0.387016,-0.408814
probe15,dio_0cgn,LONG,dio_0cgn:LONG,3,3.0,0.078171667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
probe15,dio_0gmg,LONG,dio_0gmg:LONG,3,3.0,0.068416333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.758808,0.0,0.86012,-0.206849,-0.44086,0.342082,0.543195,-0.306676
probe15,dio_0izw,SHORT,dio_0izw:SHORT,3,3.0,0.050783667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.140128,-1.0,-0.524462,0.056456,0.238693,-0.215808,0.166479,-0.156604
probe15,dio_15ms,SHORT,dio_15ms:SHORT,3,3.0,0.042782333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,0.302961,0.0,-0.845264,-0.02905,0.013333,0.391866,0.274687,-0.030538
probe15,dio_173s,SHORT,dio_173s:SHORT,3,3.0,0.072465333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.47548,0.0,0.637839,-0.190469,-0.151163,0.346669,0.381753,-0.14342
probe15,dio_1mx2,LONG,dio_1mx2:LONG,3,3.0,0.061858,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.823245,1.0,0.275568,-0.122876,-0.180587,0.965595,0.441462,-0.430998
probe15,dio_1pfo,LONG,dio_1pfo:LONG,3,0.135747,0.060343333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.958963,1.0,0.150823,-0.011519,-0.248869,0.996775,0.431734,-0.550596
probe16,dio_1k0r,LONG,dio_1k0r:LONG,0,0.0,0.0,3,0,3,0,0,-3.0,-3.0,,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",acted_without_passive_trace,1,0.25469,0.0,0.154195,-0.105623,-0.057471,0.370425,0.176003,0.168139
probe16,dio_04zi,LONG,dio_04zi:LONG,3,3.0,0.058018333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.984391,1.0,0.101715,0.180164,-0.057307,0.949554,0.505388,-0.538309
probe16,dio_06bd,SHORT,dio_06bd:SHORT,3,3.0,0.055572333,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.473624,-0.333333,-0.345201,0.373255,0.295567,0.095489,0.410921,-0.288964
probe16,dio_0cgn,SHORT,dio_0cgn:SHORT,3,3.0,0.078446,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,0.05444,1.0,0.108879,0.055143,0.206897,0.98456,0.063445,0.097996
probe16,dio_0fa9,SHORT,dio_0fa9:SHORT,3,3.0,0.051935667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.201426,-1.0,-0.62011,0.360444,0.804878,-0.300924,0.335203,-0.100649
probe16,dio_0ojr,SHORT,dio_0ojr:SHORT,3,3.0,0.058293667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.724046,0.0,-0.188908,0.350179,0.137457,0.30195,0.4814,-0.423312
probe16,dio_0rb2,SHORT,dio_0rb2:SHORT,3,3.0,0.061607,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,0.033347,-1.0,-0.259186,-0.051115,0.064516,-0.214312,0.076944,-0.030627
probe16,dio_0vc8,SHORT,dio_0vc8:SHORT,3,1.314432,0.070257667,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.483187,0.0,0.648337,-0.183654,-0.206186,0.348577,0.383807,-0.156221
probe16,dio_1g7l,SHORT,dio_1g7l:SHORT,3,3.0,0.065399,0,0,0,0,0,0.0,0.0,"dio_mini_lauf_159,dio_mini_lauf_160,dio_mini_lauf_161",,passive_seen_not_yet_acted,1,-0.077222,-1.0,0.464469,-0.13539,0.080214,-0.237909,0.163612,0.084271
