source_label,run,tick,symbol_family,action,observed_possible_action,trace_kind,outcome_event,potential_reward,real_reward,passive_only
probe16,dio_mini_lauf_160,7,dio_0vc8,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.438144,0.0,1
probe16,dio_mini_lauf_160,8,dio_1g7l,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_160,9,dio_1k0r,LONG,,real_action_outcome,SL,1.0,-1.0,1
probe16,dio_mini_lauf_160,14,dio_1t73,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_160,15,dio_1q9b,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_160,16,dio_0rb2,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_160,17,dio_1jo7,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.541401,0.0,1
probe16,dio_mini_lauf_160,18,dio_1w4m,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,1,dio_0cgn,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,2,dio_0fa9,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,3,dio_06bd,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,4,dio_0ojr,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,5,dio_04zi,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,6,dio_1qig,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,7,dio_0vc8,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.438144,0.0,1
probe16,dio_mini_lauf_161,8,dio_1g7l,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,9,dio_1k0r,LONG,,real_action_outcome,SL,1.0,-1.0,1
probe16,dio_mini_lauf_161,14,dio_1t73,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,15,dio_1q9b,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,16,dio_0rb2,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe16,dio_mini_lauf_161,17,dio_1jo7,WAIT,SHORT,passive_wait_possible_action,NO_TRADE,0.541401,0.0,1
probe16,dio_mini_lauf_161,18,dio_1w4m,WAIT,LONG,passive_wait_possible_action,NO_TRADE,1.0,0.0,1
probe18,dio_mini_lauf_159,1,dio_1txv,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_159,6,dio_0arw,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_159,11,dio_14xc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.3125,0.0,1
probe18,dio_mini_lauf_159,12,dio_1vpi,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_159,17,dio_02qu,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_160,1,dio_1txv,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_160,6,dio_0arw,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_160,11,dio_14xc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.3125,0.0,1
probe18,dio_mini_lauf_160,12,dio_1vpi,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_160,17,dio_02qu,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_161,1,dio_1txv,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_161,6,dio_0arw,LONG,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_161,11,dio_14xc,WAIT,LONG,passive_wait_possible_action,NO_TRADE,0.3125,0.0,1
probe18,dio_mini_lauf_161,12,dio_1vpi,SHORT,,real_action_outcome,TP,1.0,1.0,1
probe18,dio_mini_lauf_161,17,dio_02qu,LONG,,real_action_outcome,TP,1.0,1.0,1
