family,visible_stage_count,visible_stages,unique_text_island_count,text_island_sequence,first_score,last_score,score_delta_first_to_last,max_score,min_score,has_drift_phase,has_text_change,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0x52,2,F|F_REPRO,2,dio_text_cmxrx4 -> dio_text_1456g6j,0.572545067,0.476246133,-0.096298934,0.572545067,0.476246133,True,True,True,False,False,False,False,False,False,False
dio_1lg2,0,,0,,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,False,False,False,False
