time_maturity_state,count,inner_count,event_reward_sum,avg_event_reward,family_actions
fresh_carried_without_inner_memory,4,0,45.0,11.25,"dio_0arw:LONG,dio_0u1i:SHORT,dio_1txv:SHORT,dio_1vpi:SHORT"
fresh_carried_from_inner_bridge,2,2,24.0,12.0,"dio_02qu:LONG,dio_1g18:SHORT"
fresh_waiting_without_inner_memory,26,0,0.0,0.0,"dio_04zi:WAIT,dio_06bd:WAIT,dio_0cgn:WAIT,dio_0fa9:WAIT,dio_0gmg:WAIT,dio_0ojr:WAIT,dio_0rb2:WAIT,dio_0vc8:WAIT,dio_0x52:WAIT,dio_10kx:WAIT,dio_14xc:WAIT,dio_173s:WAIT,dio_199c:WAIT,dio_1f4v:WAIT,dio_1g7l:WAIT,dio_1guc:WAIT,dio_1jo7:WAIT,dio_1k0r:WAIT,dio_1mx2:WAIT,dio_1pfo:WAIT,dio_1q9b:WAIT,dio_1qig:WAIT,dio_1t73:WAIT,dio_1vjg:WAIT,dio_1w4m:WAIT"
older_trace_without_inner_memory,3,0,0.0,0.0,"dio_07rf:WAIT,dio_0izw:WAIT,dio_15ms:WAIT"
burden_without_inner_memory,2,0,-7.0,-3.5,"dio_0x52:SHORT,dio_1k0r:LONG"
