target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_0kpn,dio_0nmi,0.11504,0.88496,0.0,6.770993,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2",0,4,8,1
dio_0kpn,dio_0x52,0.443994,0.556006,0.0,3.99281,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,5,8,3
dio_0kpn,dio_09jn,0.447442,0.552558,0.0,3.44204,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat",0,11,8,5
dio_0xgj,dio_0nmi,0.090738,0.909262,0.0,6.770993,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2",0,4,8,1
dio_0xgj,dio_0x52,0.429006,0.570994,0.0,3.99281,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,5,8,3
dio_0xgj,dio_14wi,0.432486,0.567514,0.0,4.496005,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat",0,5,8,3
dio_14mj,dio_14wi,0.017364,0.982636,3.991915,4.496005,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat",5,5,3,3
dio_14mj,dio_0x52,0.028501,0.971499,3.991915,3.99281,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",5,5,3,3
dio_14mj,dio_09jn,0.328866,0.671134,3.991915,3.44204,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat",5,11,3,5
dio_1kqv,dio_09jn,0.112688,0.887312,0.0,3.44204,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat",0,11,16,5
dio_1kqv,dio_1vm7,0.259902,0.740098,0.0,3.554517,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,3,16,2
dio_1kqv,dio_14mj,0.281916,0.718084,0.0,3.991915,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat",0,5,16,3
dio_1tik,dio_0a54,0.104724,0.895276,1.81998,3.445308,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",4,6,4,4
dio_1tik,dio_0nmi,0.384794,0.615206,1.81998,6.770993,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2",4,4,4,1
dio_1tik,dio_0qb3,0.470357,0.529643,1.81998,5.353388,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",4,9,4,3
