inner_landkarte_state,family_count,row_count,reward_sum,identical_repeat_families,families
inner_map_quiet_stable_identical_repeat,2,4,0.0,2,"dio_01vz,dio_1m4n"
inner_map_shift_or_variant,2,5,2.0,0,"dio_1c6b,dio_1d1z"
inner_map_single_observation,10,10,1.0,0,"dio_0120,dio_040y,dio_0ofo,dio_0ps1,dio_10dk,dio_143d,dio_14xc,dio_1d3r,dio_1f9y,dio_1mym"
inner_map_trust_stable_identical_repeat,1,3,3.0,1,dio_1k7y
