stage_index,stage_label,family,visible,attached_base_families,coupled_degree,island_count,vector_drift_from_previous_visible,episode_count,dominant_neuro_tone,dominant_temporal_state,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
2,N,dio_02rt,True,-,0,1,0.000686418,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_02rt,True,-,0,1,0.000861573,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_0325,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_0325,True,-,0,1,0.002429259,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_0325,True,-,0,1,0.00238109,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_0325,True,-,0,1,0.000101089,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_03fd,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_03fd,True,-,0,1,0.00096578,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_03fd,True,-,0,1,0.002014953,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_03fd,True,-,0,1,0.000777519,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_03sc,True,-,0,1,0.0,6,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_03sc,True,-,0,1,0.001223305,6,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_03sc,True,-,0,1,0.000944383,6,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_03sc,True,-,0,1,0.001029337,6,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_03ud,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_03ud,True,-,0,1,0.000163299,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_03ud,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
3,O,dio_03ud,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_03yz,True,-,0,1,0.0,2,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_03yz,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_03yz,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
3,O,dio_03yz,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_04bi,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
1,M,dio_04bi,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_04bi,True,-,0,1,0.000213463,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_04bi,True,-,0,1,0.00206244,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_04jc,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_04jc,True,-,0,1,0.000502055,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_04jc,True,-,0,1,0.001934214,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_04jc,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_05c5,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_05c5,True,-,0,1,0.000607781,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_05c5,True,-,0,1,0.003305765,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_05c5,True,-,0,1,0.000325975,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_05e5,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_05e5,True,-,0,1,0.000181523,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_05e5,True,-,0,1,0.003777471,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_05e5,True,-,0,1,0.003683821,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_05f2,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_05f2,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_05f2,True,-,0,1,0.004370801,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_05f2,True,-,0,1,0.000849408,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_05pr,True,-,0,1,0.0,2,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_05pr,True,-,0,1,0.014724452,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_05pr,True,-,0,1,0.000950409,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_05pr,True,-,0,1,0.001820012,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_05ws,True,-,0,1,0.0,12,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_05ws,True,-,0,1,0.018635556,13,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_05ws,True,-,0,1,0.002032655,13,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_05ws,True,-,0,1,0.000222314,13,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_05xk,True,-,0,1,0.0,6,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_05xk,True,-,0,1,0.003989742,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_05xk,True,-,0,1,0.002797573,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_05xk,True,-,0,1,0.000627796,4,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_05zt,True,-,0,1,0.0,2,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_05zt,True,-,0,1,0.003705739,2,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
