relation_stability_state,relation_count,avg_relation_score,families,passive_only,influences_action
recurring_weak_passive_relation,13,0.209077,dio_0eh8|dio_0g0p|dio_0gtz|dio_0hd3|dio_0qze|dio_0t0v|dio_0u8u|dio_0y8w|dio_1361|dio_14eb|dio_14i8|dio_1ayy|dio_1t1w,True,False
recurring_strong_passive_relation,1,0.562,dio_0szn,True,False
single_passive_relation,1,0.11,dio_1rv1,True,False
