symbol_family,maturation_state,observation_count,execution_count,first_observation_run,first_observation_tick,first_observation_best_action,first_observation_best_reward,first_execution_run,first_execution_tick,first_execution_action,first_execution_reward,run_lag,tick_lag,observation_reward_potential_sum,execution_reward_sum
dio_1vp3,observation_not_yet_executed,3,0,130,18,LONG,0.163713,,,,0.0,,,0.491139,0
dio_0avw,observation_not_yet_executed,2,0,129,11,SHORT,0.244014,,,,0.0,,,0.488028,0
