passive_maturity_pressure_state,source_inner_awareness_states,family_count,observation_count,wait_count,trade_count,withheld_best_trade_count,avg_family_best_reward,passive_only,influences_action
passive_overcautious_carried_pressure,inner_overcautious_carrying_pressure,23,48,48,0,48,0.893903,True,False
passive_cautious_potential_pressure,inner_cautious_potential,9,18,18,0,18,0.877804,True,False
passive_action_withholding_split_pressure,inner_action_withholding_split,1,4,4,0,4,1.0,True,False
passive_context_dependent_withholding_pressure,inner_context_dependent_withholding,1,2,2,0,2,1.0,True,False
