direction_support_state,family_count,avg_episode_count_delta,avg_best_reward_training_delta,avg_trade_readiness_delta,families,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
same_sensory_field_same_direction_but_reife_kippt,242,-0.024793388,0.002537062,-0.00021188,dio_005k|dio_005q|dio_00r9|dio_010h|dio_0120|dio_015b|dio_01px|dio_01sj|dio_01w7|dio_02rt|dio_02y8|dio_0325|dio_03sc|dio_05cu|dio_05e5|dio_05ws|dio_05xk|dio_065c|dio_06b8|dio_06gy|dio_06jl|dio_07lp|dio_07mb|dio_07mw|dio_07t9|dio_080e|dio_091t|dio_09ow|dio_09tm|dio_09u3,True,False,False,False,False,False,False,False
direction_support_reorganized,3,-2.0,0.051708833,-0.005149639,dio_0lrt|dio_14ud|dio_1xka,True,False,False,False,False,False,False,False
direction_support_not_visible_right,1,0.0,-3.5e-05,-2.5e-06,dio_0t27,True,False,False,False,False,False,False,False
same_sensory_field_direction_reward_weakens,1,-2.0,-0.4373715,-0.0015215,dio_1si6,True,False,False,False,False,False,False,False
