transfer_reife_state,family_count,avg_transfer_reife,avg_similarity,same_action_count,same_outcome_count,families
transfer_reife_quiet_same_consequence,1,0.903487085,0.982860751,1,1,dio_14xc->dio_143d
transfer_reife_open,4,0.461474875,0.932170724,0,0,"dio_02qu->dio_13u8,dio_0arw->dio_1d3r,dio_1txv->dio_1c6b,dio_1vpi->dio_1m4n"
