left_family,right_family,transfer_reife_state,transfer_reife,sensory_mcm_similarity,distance,same_action,same_outcome,same_state_class,event_reward_relation,event_reward_alignment,potential_reward_relation,potential_reward_alignment,left_state_class,right_state_class,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_action,right_action,left_outcome,right_outcome,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,passive_only,transfer_sentence
dio_14xc,dio_143d,transfer_reife_quiet_same_consequence,0.903487085,0.982860751,0.017438126,1,1,1,neutral_to_neutral,0.5,neutral_to_neutral,0.5,open,open,-,-,-,-,WAIT,WAIT,NO_TRADE,NO_TRADE,0.0,0.0,0.0,0.0,1,dio_14xc -> dio_143d: transfer_reife=0.903487; sinnesnaehe=0.982861; aktion=WAIT->WAIT; konsequenz=NO_TRADE->NO_TRADE; event_reward=0.000000->0.000000; potential_reward=0.000000->0.000000.
dio_1txv,dio_1c6b,transfer_reife_open,0.500622741,0.993744055,0.006295328,0,0,1,positive_to_neutral,0.35,positive_to_neutral,0.35,open,open,-,-,-,-,SHORT,WAIT,TP,NO_TRADE,3.0,0.0,3.0,0.0,1,dio_1txv -> dio_1c6b: transfer_reife=0.500623; sinnesnaehe=0.993744; aktion=SHORT->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->0.000000; potential_reward=3.000000->0.000000.
dio_1vpi,dio_1m4n,transfer_reife_open,0.494182048,0.976794864,0.023756407,0,0,1,positive_to_neutral,0.35,positive_to_neutral,0.35,open,open,-,-,-,-,SHORT,WAIT,TP,NO_TRADE,3.0,0.0,3.0,0.0,1,dio_1vpi -> dio_1m4n: transfer_reife=0.494182; sinnesnaehe=0.976795; aktion=SHORT->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->0.000000; potential_reward=3.000000->0.000000.
dio_02qu,dio_13u8,transfer_reife_open,0.493610047,0.975289597,0.025336478,0,0,1,positive_to_neutral,0.35,positive_to_neutral,0.35,open,open,-,-,-,-,LONG,WAIT,TP,NO_TRADE,3.0,0.0,3.0,0.0,1,dio_02qu -> dio_13u8: transfer_reife=0.493610; sinnesnaehe=0.975290; aktion=LONG->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->0.000000; potential_reward=3.000000->0.000000.
dio_0arw,dio_1d3r,transfer_reife_open,0.357484664,0.78285438,0.277376771,0,0,1,positive_to_negative,0.0,positive_to_negative,0.0,open,open,-,-,-,-,LONG,WAIT,TP,NO_TRADE,3.0,-1.0,3.0,-1.0,1,dio_0arw -> dio_1d3r: transfer_reife=0.357485; sinnesnaehe=0.782854; aktion=LONG->WAIT; konsequenz=TP->NO_TRADE; event_reward=3.000000->-1.000000; potential_reward=3.000000->-1.000000.
