symbol_family,maturation_state,count,runs,first_moment_state,last_moment_state,moment_path,binding_path,action_path,reward_sum,event_reward_sum,maturation_reward_sum,timeline_sentence,passive_only
dio_0cgn,maturation_mixed_recurrence,3,"159,160,161",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> WAIT -> SHORT,1.0,1.0,1.0,dio_0cgn: Reife=maturation_mixed_recurrence; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_carried; reward_sum=1.000000.,1
dio_04zi,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_04zi: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_06bd,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_06bd: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_0fa9,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_0fa9: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_0ojr,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_0ojr: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_0rb2,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_0rb2: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_0ui9,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,0.0,0.0,0.0,dio_0ui9: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_0vc8,maturation_quiet_observation,1,161,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,0.0,0.0,0.0,dio_0vc8: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed; reward_sum=0.000000.,1
dio_1g7l,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_1g7l: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_1jo7,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_1jo7: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_1q9b,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_1q9b: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_1qig,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_1qig: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_1t73,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_1t73: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_1w4m,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,0.0,0.0,0.0,dio_1w4m: Reife=maturation_quiet_observation; Verlauf=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; reward_sum=0.000000.,1
dio_1k0r,maturation_stable_conflicted_burden,3,"159,160,161",moment_conflicted_burden,moment_conflicted_burden,moment_conflicted_burden -> moment_conflicted_burden -> moment_conflicted_burden,multisensory_conflicted_burden -> multisensory_conflicted_burden -> multisensory_conflicted_burden,LONG -> LONG -> LONG,-3.0,-3.0,-3.0,dio_1k0r: Reife=maturation_stable_conflicted_burden; Verlauf=moment_conflicted_burden -> moment_conflicted_burden -> moment_conflicted_burden; reward_sum=-3.000000.,1
