family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_1fqy,"44,45,46,47",4,1,4,0.25,0,2,2,0,2,0,4,3.10993,0.777482,2,0.067031
dio_1e6y,"44,45,46,47",4,1,4,0.25,1,0,3,1,0,4,0,0.941453,0.235363,3,0.045865
dio_0my4,"44,45,46,47",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.040867
dio_1ytj,"44,45,47",3,1,3,0.333333,3,0,0,3,0,3,0,3.443424,1.147808,0,0.0
dio_15th,"44,45,46",3,1,3,0.333333,1,0,2,1,0,3,0,1.296838,0.432279,2,0.050085
dio_18je,"44,45",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.066193
dio_1xdw,"44,45",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.063762
dio_1y8o,"44,45",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.056674
dio_1gz3,"44,45",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.051404
dio_1k0r,"44,45",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.054821
dio_1iuo,"44,45",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.055441
dio_1pyo,"44,45",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.060322
dio_0lt6,46,1,1,1,1.0,0,1,0,0,1,1,0,-0.249492,-0.249492,0,0.0
dio_1ieq,46,1,1,1,1.0,0,0,1,0,0,1,0,0.0,0.0,1,0.027558
dio_0786,46,1,1,1,1.0,0,0,1,0,0,1,0,0.0,0.0,1,0.056502
