target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_0u8f,dio_1tik,0.161384,0.838616,0.99229,3.63996,sensor_relation_probe7_belastung,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",1,8,3,4
dio_0u8f,dio_0a54,0.227969,0.772031,0.99229,3.445308,sensor_relation_probe7_belastung,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",1,6,3,4
dio_0u8f,dio_0nmi,0.383399,0.616601,0.99229,6.770993,sensor_relation_probe7_belastung,"order_shift,sensor_relation_probe2",1,4,3,1
dio_0wv3,dio_0x52,0.032733,0.967267,3.940907,3.99281,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung","sensor_relation_probe5,sensor_relation_probe5_repeat",5,5,3,3
dio_0wv3,dio_14wi,0.04513,0.95487,3.940907,4.496005,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung","sensor_relation_probe4,sensor_relation_probe4_repeat",5,5,3,3
dio_0wv3,dio_14mj,0.060008,0.939992,3.940907,7.185447,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",5,9,3,3
dio_19i4,dio_0qb3,0.121718,0.878282,0.860328,5.353388,sensor_relation_probe7_belastung,"sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation",1,9,3,3
dio_19i4,dio_1d6j,0.173131,0.826869,0.860328,4.768065,sensor_relation_probe7_belastung,"order_shift,order_shift_varianz",1,5,3,3
dio_19i4,dio_0nmi,0.423271,0.576729,0.860328,6.770993,sensor_relation_probe7_belastung,"order_shift,sensor_relation_probe2",1,4,3,1
dio_19p6,dio_0a54,0.09111,0.90889,0.0,3.445308,sensor_relation_probe7_belastung,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",0,6,4,4
dio_19p6,dio_1tik,0.15649,0.84351,0.0,3.63996,sensor_relation_probe7_belastung,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,8,4,4
dio_19p6,dio_0nmi,0.527901,0.472099,0.0,6.770993,sensor_relation_probe7_belastung,"order_shift,sensor_relation_probe2",0,4,4,1
dio_1h5y,dio_1tik,0.3971,0.6029,0.0,3.63996,sensor_relation_probe7_belastung,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,8,4,4
dio_1h5y,dio_0a54,0.404498,0.595502,0.0,3.445308,sensor_relation_probe7_belastung,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",0,6,4,4
dio_1h5y,dio_0nmi,0.476685,0.523315,0.0,6.770993,sensor_relation_probe7_belastung,"order_shift,sensor_relation_probe2",0,4,4,1
dio_1kqv,dio_09jn,0.113465,0.886535,0.0,4.693512,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,15,20,5
dio_1kqv,dio_1vm7,0.260959,0.739041,0.0,3.554517,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,3,20,2
dio_1kqv,dio_14mj,0.282508,0.717492,0.0,7.185447,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,9,20,3
