source,run,tick,timestamp_ms,symbol,family,action,outcome_event,reward,readiness_long,readiness_short,observation_long,observation_short,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension,negative_trace_state
debug\dio_mini_12n_inner_map_variant_probe16_from_probe18\dio_mini_lauf_180,180,9,1767492700000000,dio_1k0rwi1,dio_1k0r,LONG,SL,-1.0,0.703363,0.004528,0.010292,0.0,0.25469,0.0,-0.105623,0.370425,0.176003,negative_action_consequence
debug\dio_mini_12n_inner_map_variant_probe16_from_probe18\dio_mini_lauf_181,181,9,1767492700000000,dio_1k0rwi1,dio_1k0r,LONG,SL,-1.0,0.437794,0.004455,0.010292,0.0,0.25469,0.0,-0.105623,0.370425,0.176003,negative_action_consequence
debug\dio_mini_12n_inner_map_variant_probe16_from_probe18\dio_mini_lauf_182,182,9,1767492700000000,dio_1k0rwi1,dio_1k0r,LONG,SL,-1.0,0.216222,0.004455,0.010292,0.0,0.25469,0.0,-0.105623,0.370425,0.176003,negative_action_consequence
debug\dio_mini_12n_inner_map_variant_probe17_from_probe18\dio_mini_lauf_180,180,4,1767501200000000,dio_1d3rtjg,dio_1d3r,LONG,SL,-1.0,0.069883,0.004057,0.00625,0.0,-0.615167,0.0,0.280834,0.321366,0.394732,negative_action_consequence
debug\dio_mini_12n_inner_map_variant_probe17_from_probe18\dio_mini_lauf_180,180,12,1767503600000000,dio_1mymh4x,dio_1mym,LONG,SL,-1.0,0.052678,0.006328,0.005062,0.0,0.754296,1.0,-0.070649,0.980218,0.366561,negative_action_consequence
debug\dio_mini_12n_inner_map_variant_probe7_from_probe18\dio_mini_lauf_180,180,12,1767403600000000,dio_19i4uz6,dio_19i4,SHORT,SL,-1.0,0.00522,0.271035,0.0,0.007996,0.066309,-1.0,-0.143215,-0.2401,0.123299,negative_action_consequence
debug\dio_mini_12n_inner_map_variant_probe7_from_probe18\dio_mini_lauf_181,181,12,1767403600000000,dio_19i4uz6,dio_19i4,SHORT,SL,-1.0,0.005265,0.076291,0.0,0.007996,0.066309,-1.0,-0.143215,-0.2401,0.123299,negative_action_consequence
