symbol_family,maturation_state,stability_label,count,run_count,runs,reward_sum,event_reward_sum,avg_reward,avg_dominant_share,dominant_binding_state,dominant_inner_state,dominant_contact_state,dominant_action,dominant_outcome_event,dominant_sight_state,dominant_hearing_state,dominant_feeling_state,maturation_sentence,passive_only
dio_0hd3,maturation_stable_carried,multisensory_stable_repeat,1,1,161,1.0,1.0,1.0,1.0,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,"dio_0hd3: stabile tragende Wiederkehr; multisensory_carried_contact; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_koharent_gespannt; reward_sum=1.000000; Runs=161.",1
dio_1g18,maturation_stable_carried,multisensory_stable_repeat,3,3,"159,160,161",3.0,3.0,1.0,1.0,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_dunkle_spannung,fuehlen_inkoharent,"dio_1g18: stabile tragende Wiederkehr; multisensory_carried_contact; Sehen=sehen_stabile_form, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_inkoharent; reward_sum=3.000000; Runs=159,160,161.",1
dio_0cgn,maturation_mixed_recurrence,multisensory_mixed_repeat,3,3,"159,160,161",1.0,1.0,0.333333,0.791667,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,"dio_0cgn: gemischte Wiederkehr; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_koharent_ruhig; reward_sum=1.000000; Runs=159,160,161.",1
dio_07rf,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_helle_spannung,fuehlen_hohe_spannung,"dio_07rf: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_bewegte_form, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=159,160.",1
dio_0gmg,maturation_quiet_observation,multisensory_stable_repeat,3,3,"159,160,161",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,"dio_0gmg: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_bewegte_form, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=159,160,161.",1
dio_0izw,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,"dio_0izw: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_stabile_form, Hoeren=hoeren_mittlere_spannung, Fuehlen=fuehlen_inkoharent; Runs=159,160.",1
dio_15ms,maturation_quiet_observation,multisensory_mostly_stable,2,2,"159,160",0.0,0.0,0.0,0.875,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_leise,fuehlen_offen,"dio_15ms: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_teilform, Hoeren=hoeren_leise, Fuehlen=fuehlen_offen; Runs=159,160.",1
dio_173s,maturation_quiet_observation,multisensory_stable_repeat,3,3,"159,160,161",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_bewegte_form,hoeren_dunkle_spannung,fuehlen_hohe_spannung,"dio_173s: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_bewegte_form, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_hohe_spannung; Runs=159,160,161.",1
dio_1mn2,maturation_quiet_observation,multisensory_stable_repeat,1,1,161,0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_dunkle_spannung,fuehlen_koharent_gespannt,"dio_1mn2: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_koharent_gespannt; Runs=161.",1
dio_1mx2,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_dunkle_spannung,fuehlen_koharent_gespannt,"dio_1mx2: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_dunkle_spannung, Fuehlen=fuehlen_koharent_gespannt; Runs=159,160.",1
dio_1pfo,maturation_quiet_observation,multisensory_stable_repeat,2,2,"159,160",0.0,0.0,0.0,1.0,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,"dio_1pfo: stabile ruhige Beobachtung; multisensory_quiet_observation; Sehen=sehen_geformte_bewegung, Hoeren=hoeren_leise, Fuehlen=fuehlen_koharent_gespannt; Runs=159,160.",1
dio_0x52,maturation_stable_conflicted_burden,multisensory_stable_repeat,2,2,"159,160",-2.0,-2.0,-1.0,1.0,multisensory_conflicted_burden,inner_consequence_conflicted,real_contact_burdened,SHORT,SL,sehen_stabile_form,hoeren_helle_spannung,fuehlen_koharent_ruhig,"dio_0x52: stabile widerspruechlich-belastende Wiederkehr; multisensory_conflicted_burden; Sehen=sehen_stabile_form, Hoeren=hoeren_helle_spannung, Fuehlen=fuehlen_koharent_ruhig; reward_sum=-2.000000; Runs=159,160.",1
