family,timeline_state,probe_count,seen_count,executed_count,observed_count,reward_sum,best_reward_sum,timeline,map_symbols,passive_sentence
dio_0c6o,mixed_reconfirmed_and_conflict,3,8,8,0,4.25792,11.012692,probe14:reflection_memory_quiet -> probe15:reflection_memory_reconfirmed -> probe16:reflection_memory_conflict,dio_rmap_1v5n5kx|dio_rmap_0ktkobu|dio_rmap_0f8s8gp,"dio_0c6o: wurde getragen, aber nicht identisch in jeder Welt; Konflikt gehoert zur Akte."
dio_0hd3,reconfirmed_with_quiet_return,3,8,8,0,12.068892,12.068892,probe14:reflection_memory_reconfirmed -> probe15:reflection_memory_reconfirmed -> probe16:reflection_memory_quiet,dio_rmap_00ydmyh|dio_rmap_1nacwbv|dio_rmap_0pgo7nw,dio_0hd3: wurde getragen und spaeter auch still wiedergefunden.
dio_1wie,quiet_only,1,0,0,0,0.0,0.0,probe16:reflection_memory_quiet,dio_rmap_0b959vx,"dio_1wie: ist bekannt, blieb in der gelesenen Welt aber still."
