scope,name,action,count,reward_sum,avg_reward,trust,caution,timing_improvement_sum,avg_timing_improvement,last_timing_improvement
family,dio_0odx,SHORT,13,2.682806,0.20637,0.189463,0.0,0.018679,0.001437,0.003736
family,dio_0t45,SHORT,9,13.024076,1.44712,1.0,0.0,0.007899,0.000878,0.00158
family,dio_1lam,LONG,13,15.723227,1.209479,1.0,0.0,0.008996,0.000692,0.001799
family,dio_1h37,LONG,5,0.049009,0.009802,0.003342,0.0,0.0,0.0,0.0
family,dio_0qb3,LONG,4,0.042172,0.010543,0.00299,0.0,0.0,0.0,0.0
family,dio_0z1h,LONG,8,0.375144,0.046893,0.022827,0.0,0.0,0.0,0.0
family,dio_1j78,LONG,2,0.096372,0.048186,0.007401,0.0,0.0,0.0,0.0
family,dio_0nmi,LONG,4,0.229255,0.057314,0.016255,0.0,0.0,0.0,0.0
family,dio_01nf,LONG,4,0.342487,0.085622,0.024283,0.0,0.0,0.0,0.0
family,dio_18iw,SHORT,3,0.275264,0.091755,0.020306,0.0,0.0,0.0,0.0
family,dio_1at7,SHORT,2,0.187559,0.093779,0.014405,0.0,0.0,0.0,0.0
family,dio_1v23,LONG,4,0.379986,0.094997,0.026942,0.0,0.0,0.0,0.0
family,dio_0rh0,SHORT,4,0.426552,0.106638,0.030243,0.0,0.0,0.0,0.0
family,dio_01xf,LONG,2,0.224143,0.112072,0.017214,0.0,0.0,0.0,0.0
family,dio_1mml,LONG,9,1.32176,0.146862,0.101749,0.0,0.0,0.0,0.0
family,dio_07mf,LONG,4,0.678509,0.169627,0.048108,0.0,0.0,0.0,0.0
family,dio_1ieq,LONG,4,0.718505,0.179626,0.050943,0.0,0.0,0.0,0.0
family,dio_0309,SHORT,2,0.411999,0.205999,0.031641,0.0,0.0,0.0,0.0
family,dio_13ey,LONG,2,0.415674,0.207837,0.031924,0.0,0.0,0.0,0.0
family,dio_1vb3,LONG,4,0.90222,0.225555,0.063969,0.0,0.0,0.0,0.0
family,dio_00eh,SHORT,4,1.148966,0.287241,0.081464,0.0,0.0,0.0,0.0
family,dio_0jqv,SHORT,2,0.589324,0.294662,0.04526,0.0,0.0,0.0,0.0
family,dio_1iuq,SHORT,3,0.956667,0.318889,0.070574,0.0,0.0,0.0,0.0
family,dio_1hjj,SHORT,5,1.607933,0.321587,0.109635,0.0,0.0,0.0,0.0
family,dio_0rgr,LONG,2,0.816109,0.408055,0.062677,0.0,0.0,0.0,0.0
family,dio_05vm,LONG,2,0.819239,0.409619,0.062918,0.0,0.0,0.0,0.0
family,dio_1sxo,SHORT,2,0.98171,0.490855,0.075395,0.0,0.0,0.0,0.0
family,dio_1lz7,SHORT,2,1.034679,0.51734,0.079463,0.0,0.0,0.0,0.0
family,dio_0fp8,SHORT,4,2.11141,0.527853,0.194951,0.0,0.0,0.0,0.0
family,dio_0oio,LONG,3,1.58394,0.52798,0.116848,0.0,0.0,0.0,0.0
family,dio_0nny,LONG,2,1.061977,0.530989,0.08156,0.0,0.0,0.0,0.0
family,dio_0f4h,LONG,4,2.166193,0.541548,0.20001,0.0,0.0,0.0,0.0
family,dio_0lt6,SHORT,6,3.302256,0.550376,0.313441,0.0,0.0,0.0,0.0
family,dio_0av4,SHORT,3,1.657093,0.552364,0.122245,0.0,0.0,0.0,0.0
family,dio_05z6,SHORT,4,2.387783,0.596946,0.22047,0.0,0.0,0.0,0.0
family,dio_1jtc,LONG,2,1.206052,0.603026,0.092625,0.0,0.0,0.0,0.0
family,dio_0zlr,SHORT,3,1.844842,0.614947,0.136095,0.0,0.0,0.0,0.0
family,dio_0uct,LONG,4,2.534359,0.63359,0.234003,0.0,0.0,0.0,0.0
family,dio_1bzs,SHORT,3,1.90976,0.636587,0.140884,0.0,0.0,0.0,0.0
family,dio_1ml8,LONG,2,1.349951,0.674975,0.103676,0.0,0.0,0.0,0.0
family,dio_19qg,SHORT,1,0.684984,0.684984,0.054799,0.0,0.0,0.0,0.0
family,dio_0e6t,LONG,2,1.445533,0.722767,0.111017,0.0,0.0,0.0,0.0
family,dio_0dcm,SHORT,2,1.510789,0.755394,0.116029,0.0,0.0,0.0,0.0
family,dio_1r0b,SHORT,6,4.555612,0.759269,0.432407,0.0,0.0,0.0,0.0
family,dio_0xq8,LONG,2,1.580797,0.790399,0.121405,0.0,0.0,0.0,0.0
family,dio_1rka,LONG,2,1.581678,0.790839,0.121473,0.0,0.0,0.0,0.0
family,dio_07yj,LONG,2,1.644736,0.822368,0.126316,0.0,0.0,0.0,0.0
family,dio_0v7w,SHORT,3,2.480788,0.826929,0.183009,0.0,0.0,0.0,0.0
family,dio_0w1v,SHORT,2,1.653859,0.826929,0.127016,0.0,0.0,0.0,0.0
family,dio_052z,LONG,4,3.352473,0.838118,0.349178,0.0,0.0,0.0,0.0
family,dio_0irs,LONG,2,1.696882,0.848441,0.130321,0.0,0.0,0.0,0.0
family,dio_0wsj,LONG,2,1.703187,0.851593,0.130805,0.0,0.0,0.0,0.0
family,dio_0i5m,SHORT,2,1.723693,0.861846,0.13238,0.0,0.0,0.0,0.0
family,dio_0ifl,SHORT,1,0.861846,0.861846,0.068948,0.0,0.0,0.0,0.0
family,dio_0vyd,SHORT,2,1.798575,0.899288,0.138131,0.0,0.0,0.0,0.0
family,dio_13wt,SHORT,2,1.814615,0.907308,0.139362,0.0,0.0,0.0,0.0
family,dio_1cpq,SHORT,7,6.719459,0.959923,0.598495,0.0,0.0,0.0,0.0
family,dio_1mc3,SHORT,3,2.895896,0.965299,0.293248,0.0,0.0,0.0,0.0
family,dio_081d,LONG,2,1.942378,0.971189,0.149175,0.0,0.0,0.0,0.0
family,dio_074d,SHORT,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_0k53,LONG,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_0olv,SHORT,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_0qyu,LONG,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_0rej,SHORT,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_0v36,SHORT,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_1144,SHORT,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_18wf,LONG,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_1gzm,SHORT,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_1tg9,LONG,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_1tki,LONG,2,2.0,1.0,0.1536,0.0,0.0,0.0,0.0
family,dio_179o,LONG,3,3.006912,1.002304,0.30449,0.0,0.0,0.0,0.0
family,dio_1uez,LONG,3,3.038674,1.012891,0.307706,0.0,0.0,0.0,0.0
family,dio_1hzf,SHORT,3,3.126937,1.042312,0.316644,0.0,0.0,0.0,0.0
family,dio_0n4c,SHORT,4,4.555424,1.138856,0.474472,0.0,0.0,0.0,0.0
family,dio_0b0d,SHORT,4,4.863827,1.215957,0.518315,0.0,0.0,0.0,0.0
family,dio_14zx,SHORT,3,3.743262,1.247754,0.379055,0.0,0.0,0.0,0.0
family,dio_1r0h,SHORT,4,5.07734,1.269335,0.528832,0.0,0.0,0.0,0.0
family,dio_0nv8,SHORT,3,3.826216,1.275405,0.387766,0.0,0.0,0.0,0.0
family,dio_0byw,LONG,10,14.311844,1.431184,1.0,0.0,0.0,0.0,0.0
