debug_root,root_name,run,tick,symbol_family,action,raw_action,best_action_training,binding_state,binding_quality,episode_relation,phase_active,phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,score_wait,score_long,score_short,reward,best_reward_training,unrealized_best_reward,held_impulse_potential
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,1,dio_1s50,WAIT,WAIT,LONG,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.050302,-0.059027,-0.055842,0.0,1.241447,1.241447,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,2,dio_0qze,WAIT,WAIT,LONG,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.050063,-0.019877,-0.055886,0.0,0.724759,0.724759,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,3,dio_1guc,WAIT,WAIT,LONG,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.051157,-0.051724,-0.061135,0.0,0.021975,0.021975,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,4,dio_1t1w,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.051949,-0.061242,-0.059879,0.0,0.55604,0.55604,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,5,dio_0b66,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.051722,-0.060983,-0.058618,0.0,1.126796,1.126796,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,none,0,9999,1.0,0.0,1.0,0.01122,-0.060211,1.40488,1.526095,1.526095,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,11,dio_0989,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,5,0.398793,0.0,1.0,0.052396,-0.06839,-0.067447,0.0,0.211987,0.211987,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,12,dio_173s,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,6,0.572586,0.0,1.0,0.05695,-0.06589,-0.069543,0.0,0.743903,0.743903,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,13,dio_0szn,SHORT,SHORT,SHORT,executed_aligned,executed_contact_confirmed,new_contact,0,7,0.702948,0.282051,0.819412,0.034347,-0.066622,0.903672,0.814674,0.814674,0.0,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,133,18,dio_0gmg,WAIT,WAIT,LONG,observed_not_bound,observation_potential,different_contact,0,5,0.518796,0.0,1.0,0.058807,-0.066878,-0.072736,0.0,0.189008,0.189008,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,134,1,dio_1s50,WAIT,WAIT,LONG,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.049809,0.002248,-0.056273,0.0,1.241447,1.241447,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,134,2,dio_0qze,WAIT,WAIT,LONG,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.04917,0.026074,-0.056134,0.0,0.724759,0.724759,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,134,3,dio_1guc,WAIT,WAIT,LONG,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.051086,-0.049139,-0.061402,0.0,0.021975,0.021975,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe14_self_awareness_shift\run,run,134,4,dio_1t1w,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,none,0,9999,1.0,0.0,1.0,0.051707,-0.061498,-0.032554,0.0,0.55604,0.55604,0.0
