stability_label,family_count,row_count,reward_sum,event_reward_sum,families,binding_states
multisensory_stable_repeat,10,21,2.0,2.0,"dio_07rf,dio_0gmg,dio_0hd3,dio_0izw,dio_0x52,dio_173s,dio_1g18,dio_1mn2,dio_1mx2,dio_1pfo","multisensory_carried_contact,multisensory_conflicted_burden,multisensory_quiet_observation"
multisensory_mostly_stable,1,2,0.0,0.0,dio_15ms,multisensory_quiet_observation
multisensory_mixed_repeat,1,3,1.0,1.0,dio_0cgn,multisensory_quiet_observation
