family_action,symbol_family,action,time_maturity_state,episode_freshness_state,episode_source_labels,episode_source_count,episode_count,phase_time_states,outcome_events,event_reward_sum,avg_event_reward,avg_finite_phase_age,avg_bars_held,inner_memory_state,inner_map_count,inner_map_labels,inner_seeds,inner_real_reward_sum,has_inner_maturity,bridge_passive_family_action,bridge_maturity_state,bridge_similarity,passive_only,influences_action,is_gate,is_motoric,time_maturity_note
dio_02qu:LONG,dio_02qu,LONG,fresh_carried_from_inner_bridge,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18",3,9,executed_temporal_contact:9,TP:9,9.0,1.0,5.0,2.0,passive_inner_memory_stable,4,"basis,followup1,followup2,followup3",inner_trust_seed,12.0,1,dio_14xc:LONG,passive_observation_has_carried_neighbor,0.800216,1,0,0,0,"dio_02qu:LONG: frisch getragen ueber passive Reifebruecke von dio_14xc:LONG; Zeit=fresh_recurrent_episode_trace; Innen=passive_inner_memory_stable; Quellen=basis_probe18,followup4_probe18,followup5_probe18; reward=9.000000."
dio_0arw:LONG,dio_0arw,LONG,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18",3,9,executed_temporal_contact:9,TP:9,9.0,1.0,5.0,2.0,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0arw:LONG: frisch getragen, aber noch ohne innere Reife-Memory; Quellen=basis_probe18,followup4_probe18,followup5_probe18; reward=9.000000."
dio_1txv:SHORT,dio_1txv,SHORT,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18",3,9,no_prior_phase:9,TP:9,9.0,1.0,,1.0,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1txv:SHORT: frisch getragen, aber noch ohne innere Reife-Memory; Quellen=basis_probe18,followup4_probe18,followup5_probe18; reward=9.000000."
dio_1vpi:SHORT,dio_1vpi,SHORT,fresh_carried_without_inner_memory,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18",3,9,executed_temporal_contact:9,TP:9,9.0,1.0,6.0,3.0,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1vpi:SHORT: frisch getragen, aber noch ohne innere Reife-Memory; Quellen=basis_probe18,followup4_probe18,followup5_probe18; reward=9.000000."
dio_0u1i:SHORT,dio_0u1i,SHORT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,no_prior_phase:9,TP:9,9.0,1.0,,3.0,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0u1i:SHORT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=9.000000."
dio_1g18:SHORT,dio_1g18,SHORT,time_trace_with_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,executed_temporal_contact:9,TP:9,9.0,1.0,8.0,3.0,passive_inner_memory_reorganizing,4,"basis,followup1,followup2,followup3","inner_reorganization_seed,inner_trust_seed",12.0,1,dio_173s:SHORT,passive_observation_has_carried_neighbor,0.811962,1,0,0,0,"dio_1g18:SHORT: time_trace_with_inner_memory; Zeit=older_recurrent_episode_trace; Innen=passive_inner_memory_reorganizing; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=9.000000."
dio_04zi:WAIT,dio_04zi,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_04zi:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_06bd:WAIT,dio_06bd,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_06bd:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_0cgn:WAIT,dio_0cgn,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,basis_probe16,followup4_probe15,followup4_probe16,followup5_probe15,followup5_probe16",6,18,no_prior_phase:18,NO_TRADE:18,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0cgn:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,basis_probe16,followup4_probe15,followup4_probe16,followup5_probe15,followup5_probe16; reward=0.000000."
dio_0fa9:WAIT,dio_0fa9,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0fa9:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
