run,tick,timestamp_ms,symbol_family,maturation_state,moment_state,binding_state,inner_state,contact_state,action,outcome_event,sight_state,hearing_state,feeling_state,reward,event_reward,maturation_reward_sum,timeline_sentence,passive_only
159,1,1767500300000000,dio_1c6b,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,0.0,0.0,1.0,dio_1c6b: run=159 tick=1; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,2,1767500600000000,dio_1d1z,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,0.0,0.0,1.0,dio_1d1z: run=159 tick=2; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,3,1767500900000000,dio_10dk,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_teilform,hoeren_helle_spannung,fuehlen_hohe_spannung,0.0,0.0,0.0,dio_10dk: run=159 tick=3; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,4,1767501200000000,dio_1d3r,maturation_negative_open,moment_open,multisensory_burdened_memory,inner_consequence_burdened,real_contact_burdened,LONG,SL,sehen_bewegte_form,hoeren_helle_spannung,fuehlen_hohe_spannung,-1.0,-1.0,-1.0,dio_1d3r: run=159 tick=4; moment_open; Reife=maturation_negative_open; Bindung=multisensory_burdened_memory; Aktion=LONG; reward=-1.000000.,1
159,9,1767502700000000,dio_040y,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_040y: run=159 tick=9; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,10,1767503000000000,dio_1f9y,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1f9y: run=159 tick=10; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,11,1767503300000000,dio_143d,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_143d: run=159 tick=11; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,12,1767503600000000,dio_1m4n,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1m4n: run=159 tick=12; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
159,13,1767503900000000,dio_1k7y,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,1.0,1.0,3.0,dio_1k7y: run=159 tick=13; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
159,18,1767505400000000,dio_01vz,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_01vz: run=159 tick=18; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,1,1767500300000000,dio_1c6b,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,0.0,0.0,1.0,dio_1c6b: run=160 tick=1; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
