phase,family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
shift,dio_1cpq,4,27,30,3,1,1,4,3.876612,0.510169,0.066977,observation_to_execution
shift,dio_0odx,4,27,30,2,2,0,2,0.520934,0.092001,0.055604,observation_to_execution
shift,dio_1lam,4,27,30,4,0,0,4,5.19776,0.761004,0.078122,persistent_execution
shift,dio_1r0b,2,27,28,2,0,0,2,1.959404,0.363935,0.064581,persistent_execution
shift,dio_1mml,1,27,27,1,0,0,1,0.237245,0.086014,0.04983,persistent_execution
shift,dio_0t45,2,29,30,0,2,2,2,0.0,0.143727,0.062919,raw_pressure_held
shift,dio_1h37,1,27,27,0,1,0,0,0.0,0.005742,0.005742,stable_observation
shift,dio_1hjj,1,27,27,0,1,1,1,0.0,0.079478,0.045332,raw_pressure_held
order_shift,dio_121e,4,36,39,2,2,0,2,3.042412,0.211842,0.081719,observation_to_execution
order_shift,dio_1d6j,4,36,39,1,3,0,1,1.143781,0.091679,0.056826,observation_to_execution
order_shift,dio_1h5i,3,36,38,1,2,0,1,1.652416,0.064142,0.060884,observation_to_execution
order_shift,dio_0nmi,2,36,37,1,1,0,1,2.0,0.104784,0.059966,observation_to_execution
order_shift,dio_00eh,2,37,39,1,1,0,1,-0.431148,0.072906,0.066364,execution_to_nonexecution
order_shift,dio_0f4h,1,36,36,1,0,0,1,2.0,0.172588,0.061115,persistent_execution
order_shift,dio_08wa,4,36,39,0,4,0,0,0.0,0.022227,0.022227,stable_observation
order_shift,dio_1wwt,4,36,39,0,4,0,0,0.0,0.04661,0.04661,stable_observation
order_shift,dio_0knp,3,36,39,0,3,0,0,0.0,0.00548,0.00548,stable_observation
order_shift,dio_01yf,2,36,37,0,2,0,0,0.0,0.016301,0.016301,stable_observation
order_shift,dio_0d07,2,36,37,0,2,0,0,0.0,0.006525,0.006525,stable_observation
order_shift,dio_0nvr,2,36,37,0,2,0,0,0.0,0.005402,0.005402,stable_observation
order_shift,dio_185j,2,38,39,0,2,0,0,0.0,0.010018,0.010018,stable_observation
order_shift,dio_1i0f,2,36,37,0,2,0,0,0.0,0.012728,0.012728,stable_observation
order_shift,dio_018g,1,38,38,0,1,0,0,0.0,0.004547,0.004547,stable_observation
order_shift,dio_1j0n,1,39,39,0,1,0,0,0.0,0.004095,0.004095,stable_observation
order_shift_varianz,dio_1ioc,4,40,43,2,2,0,2,3.339704,0.232116,0.079776,observation_to_execution
order_shift_varianz,dio_1sxo,2,40,41,1,1,0,1,0.993834,0.076944,0.069375,observation_to_execution
order_shift_varianz,dio_1d6j,4,40,43,4,0,0,4,3.624284,0.523523,0.05709,persistent_execution
order_shift_varianz,dio_03fl,4,40,43,0,4,1,1,0.0,0.049949,0.049949,raw_pressure_held
order_shift_varianz,dio_151h,4,40,43,0,4,0,0,0.0,0.010461,0.010461,stable_observation
order_shift_varianz,dio_1hkr,4,40,43,0,4,2,2,0.0,0.091462,0.055656,raw_pressure_held
order_shift_varianz,dio_1ytj,4,40,43,0,4,2,2,0.0,0.122182,0.058633,raw_pressure_held
order_shift_varianz,dio_066x,3,40,43,0,3,0,0,0.0,0.017901,0.017901,stable_observation
order_shift_varianz,dio_0iy2,3,40,43,0,3,0,0,0.0,0.01359,0.01359,stable_observation
order_shift_varianz,dio_0q8z,2,40,41,0,2,0,0,0.0,0.017637,0.017637,stable_observation
order_shift_varianz,dio_0mp4,1,40,40,0,1,0,0,0.0,0.004609,0.004609,stable_observation
order_shift_varianz,dio_0r8e,1,40,40,0,1,0,0,0.0,0.004006,0.004006,stable_observation
