inner_transition,count,reward_sum,best_reward_sum,avg_reward,families,actions
same_inner_state,8,5.812,6.512112,0.7265,"dio_0ofo,dio_1mym","LONG,WAIT"
inner_unfinished_to_inner_carried,4,4.34704,4.34704,1.08676,dio_04z7,LONG
timeline_start,4,3.647524,3.647524,0.911881,dio_1bwb,SHORT
inner_carried_to_inner_open_observation,4,0.0,0.378512,0.0,dio_14xc,WAIT
inner_open_observation_to_inner_unfinished,4,0.0,2.780168,0.0,dio_1k7y,WAIT
