left_family,right_family,rank,distance,similarity,left_count,right_count,left_reward_sum,right_reward_sum,left_event_reward_sum,right_event_reward_sum,left_action,right_action,left_outcome,right_outcome,left_landkarte_state,right_landkarte_state,left_reflection_state,right_reflection_state,left_state_class,right_state_class,same_state_class,same_action,same_outcome,passive_only,left_sehen_form_flow,right_sehen_form_flow,left_sehen_form_stability,right_sehen_form_stability,left_sehen_form_change,right_sehen_form_change,left_hoeren_energy_tone,right_hoeren_energy_tone,left_hoeren_energy_shift,right_hoeren_energy_shift,left_fuehlen_mcm_coherence,right_fuehlen_mcm_coherence,left_fuehlen_mcm_tension,right_fuehlen_mcm_tension,left_fuehlen_mcm_asymmetry,right_fuehlen_mcm_asymmetry,kinship_sentence
dio_02qu,dio_13u8,1,0.025336478,0.975289597,3,1,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.291659,0.346141,0.0,0.0,0.29436,0.287244,0.053713,0.055275,0.089286,0.111732,0.38496,0.384523,0.192154,0.214554,0.251832,0.285124,dio_02qu -> dio_13u8: sensorische/MCM-Naehe=0.975290; links=- rechts=-; Aktion=LONG->WAIT.
dio_02qu,dio_1k7y,2,0.355340351,0.737822053,3,2,3.0,2.0,3.0,2.0,LONG,LONG,TP,TP,-,-,-,-,open,open,1,1,1,1,0.291659,0.359266,0.0,0.0,0.29436,-0.670882,0.053713,-0.077778,0.089286,0.025253,0.38496,0.378222,0.192154,0.290899,0.251832,0.045228,dio_02qu -> dio_1k7y: sensorische/MCM-Naehe=0.737822; links=- rechts=-; Aktion=LONG->LONG.
dio_02qu,dio_10dk,3,0.431615368,0.698511641,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.291659,-0.419184,0.0,-0.333333,0.29436,-0.301121,0.053713,0.369028,0.089286,0.333333,0.38496,0.096672,0.192154,0.379228,0.251832,-0.240346,dio_02qu -> dio_10dk: sensorische/MCM-Naehe=0.698512; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_1d3r,1,0.277376771,0.78285438,3,3,3.0,-1.0,3.0,-1.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,-0.615167,0.0,0.0,0.533785,-0.11507,-0.00536,0.280834,-0.059524,-0.075758,0.398499,0.321366,0.275533,0.394732,-0.134298,-0.387262,dio_0arw -> dio_1d3r: sensorische/MCM-Naehe=0.782854; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_13u8,2,0.3360068,0.748499184,3,1,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,0.346141,0.0,0.0,0.533785,0.287244,-0.00536,0.055275,-0.059524,0.111732,0.398499,0.384523,0.275533,0.214554,-0.134298,0.285124,dio_0arw -> dio_13u8: sensorische/MCM-Naehe=0.748499; links=- rechts=-; Aktion=LONG->WAIT.
dio_0arw,dio_10dk,3,0.389963492,0.719443357,3,3,3.0,0.0,3.0,0.0,LONG,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,-0.447325,-0.419184,0.0,-0.333333,0.533785,-0.301121,-0.00536,0.369028,-0.059524,0.333333,0.398499,0.096672,0.275533,0.379228,-0.134298,-0.240346,dio_0arw -> dio_10dk: sensorische/MCM-Naehe=0.719443; links=- rechts=-; Aktion=LONG->WAIT.
dio_14xc,dio_143d,1,0.017438126,0.982860751,3,2,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,-,-,-,-,open,open,1,1,1,1,0.822477,0.845244,1.0,1.0,-0.169765,-0.15556,0.010545,0.023468,-0.130208,-0.100503,0.997047,0.993429,0.377032,0.389748,0.393802,0.415902,dio_14xc -> dio_143d: sensorische/MCM-Naehe=0.982861; links=- rechts=-; Aktion=WAIT->WAIT.
dio_14xc,dio_14xc,2,0.017438126,0.982860751,3,1,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,-,-,-,-,open,open,1,1,1,1,0.822477,0.845244,1.0,1.0,-0.169765,-0.15556,0.010545,0.023468,-0.130208,-0.100503,0.997047,0.993429,0.377032,0.389748,0.393802,0.415902,dio_14xc -> dio_14xc: sensorische/MCM-Naehe=0.982861; links=- rechts=-; Aktion=WAIT->WAIT.
dio_14xc,dio_1m4n,3,0.042311204,0.959406362,3,2,0.0,0.0,0.0,0.0,WAIT,WAIT,NO_TRADE,NO_TRADE,-,-,-,-,open,open,1,1,1,1,0.822477,0.754296,1.0,1.0,-0.169765,-0.125526,0.010545,-0.070649,-0.130208,-0.124378,0.997047,0.980218,0.377032,0.366561,0.393802,0.367404,dio_14xc -> dio_1m4n: sensorische/MCM-Naehe=0.959406; links=- rechts=-; Aktion=WAIT->WAIT.
dio_1txv,dio_1c6b,1,0.006295328,0.993744055,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,0.038108,1.0,1.0,0.065244,0.076215,0.039728,0.040115,0.133333,0.142857,0.988876,0.988768,0.040826,0.045048,0.060594,0.068203,dio_1txv -> dio_1c6b: sensorische/MCM-Naehe=0.993744; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1txv,dio_0120,2,0.266324852,0.789686784,3,3,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,0.639442,1.0,1.0,0.065244,0.062829,0.039728,0.112281,0.133333,0.108108,0.988876,0.968561,0.040826,0.325776,0.060594,0.394788,dio_1txv -> dio_0120: sensorische/MCM-Naehe=0.789687; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1txv,dio_040y,3,0.317007902,0.759296887,3,1,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.032622,0.761489,1.0,1.0,0.065244,0.107055,0.039728,0.047611,0.133333,0.104712,0.988876,0.986669,0.040826,0.356951,0.060594,0.473069,dio_1txv -> dio_040y: sensorische/MCM-Naehe=0.759297; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1vpi,dio_1m4n,1,0.023756407,0.976794864,3,2,3.0,0.0,3.0,0.0,SHORT,WAIT,TP,NO_TRADE,-,-,-,-,open,open,1,0,0,1,0.742634,0.754296,1.0,1.0,-0.089228,-0.125526,-0.052832,-0.070649,-0.076923,-0.124378,0.985207,0.980218,0.348372,0.366561,0.379076,0.367404,dio_1vpi -> dio_1m4n: sensorische/MCM-Naehe=0.976795; links=- rechts=-; Aktion=SHORT->WAIT.
dio_1vpi,dio_1mym,2,0.023756407,0.976794864,3,1,3.0,-1.0,3.0,-1.0,SHORT,LONG,TP,SL,-,-,-,-,open,open,1,0,0,1,0.742634,0.754296,1.0,1.0,-0.089228,-0.125526,-0.052832,-0.070649,-0.076923,-0.124378,0.985207,0.980218,0.348372,0.366561,0.379076,0.367404,dio_1vpi -> dio_1mym: sensorische/MCM-Naehe=0.976795; links=- rechts=-; Aktion=SHORT->LONG.
