world,source_file,families,carry_signal_family_count,positive_carried_cos_family_count,avg_carry,max_carry,avg_carried_cos,max_carried_cos,avg_readiness,max_readiness,avg_inner_balance,avg_temporal_trust,avg_temporal_caution
probe17,debug\dio_mini_positive_transfer_kinship_source_vs_probe17\temporal_neuro_kinship_transfer.csv,18,18,11,0.178789,0.280315,0.27429,0.995038,0.021341,0.05811,0.071634,0.0,0.72
probe18,debug\dio_mini_positive_transfer_kinship_source_vs_probe18\temporal_neuro_kinship_transfer.csv,18,18,11,0.178385,0.280197,0.269927,0.99571,0.016962,0.026272,0.075426,0.0,0.72
conflict16,debug\dio_mini_temporal_neuro_kinship_transfer_scratch_vs_conflict\temporal_neuro_kinship_transfer.csv,17,17,7,0.1344,0.260199,-0.041084,0.794854,0.015053,0.026471,0.064161,0.03583,0.72
