reflection_state,count,event_reward_sum,episode_count,actions,variants
direction_can_be_locally_carried,2,12.0,12,"LONG,SHORT","probe14_f2,probe17_f3"
stable_variant_map_without_burden,1,12.0,20,"LONG,SHORT","probe14_f2,probe17_f3"
transfer_is_not_action,1,0.0,6,-,"probe14_f2,probe17_f3"
