family,runs,run_count,symbol_count,rows,symbols_per_row,executed_long,executed_short,executed_wait,raw_long,raw_short,best_long,best_short,reward_sum,avg_reward,observation_learning_events,avg_observation_pressure
dio_1lam,"23,24,25,26",4,1,4,0.25,2,0,2,2,0,4,0,2.59888,0.64972,2,0.052615
dio_1r0b,"23,24,25,26",4,1,4,0.25,0,1,3,0,1,0,4,0.979702,0.244925,3,0.038788
dio_1mml,"23,24,25,26",4,1,4,0.25,1,0,3,1,0,4,0,0.237245,0.059311,3,0.016912
dio_0odx,"23,24,25,26",4,1,4,0.25,0,0,4,0,0,0,4,0.0,0.0,4,0.032918
dio_1hjj,"23,24,25,26",4,1,4,0.25,0,0,4,0,0,0,4,0.0,0.0,4,0.026472
dio_1h37,"23,24,25,26",4,1,4,0.25,0,0,4,0,0,4,0,0.0,0.0,4,0.039524
dio_1hzf,"23,24,25",3,1,3,0.333333,0,1,2,0,1,0,3,1.489018,0.496339,2,0.040178
dio_1cpq,"23,24,26",3,1,3,0.333333,0,0,3,0,1,0,3,0.0,0.0,3,0.028264
dio_0z1h,"23,24,25",3,1,3,0.333333,0,0,3,0,0,3,0,0.0,0.0,3,0.032924
dio_0e6t,"23,24",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.033862
dio_1jtc,"23,24",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.034486
dio_05vm,"23,24",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.033673
dio_13ey,"23,24",2,1,2,0.5,0,0,2,0,0,2,0,0.0,0.0,2,0.034995
dio_0olv,"23,24",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.034928
dio_1gzm,"23,24",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.031348
dio_0t45,"23,24",2,1,2,0.5,0,0,2,0,0,0,2,0.0,0.0,2,0.036423
