inner_state,contact_quality,world_count,worlds,count,reward_sum,best_reward_sum,avg_reward,families,contact_qualities,avg_sehen_form_flow,avg_sehen_form_stability,avg_hoeren_energy_tone,avg_fuehlen_mcm_coherence,avg_fuehlen_mcm_tension
inner_carried,positive_real_contact,3,"probe19_run153,probe19_run154,probe19_run155",9,9.947715,9.947715,1.105302,"dio_0arw,dio_0t0v,dio_1u7v",positive_real_contact,-0.123789,0.0,-0.019726,0.387061,0.14308
inner_unfinished,observed_potential,3,"probe19_run153,probe19_run154,probe19_run155",6,0.0,2.314887,0.0,"dio_00qb,dio_1vpi",observed_potential,0.572605,0.5,-0.065427,0.681681,0.32415
inner_open_observation,observed_potential,3,"probe19_run153,probe19_run154,probe19_run155",3,0.0,0.283545,0.0,dio_14xc,observed_potential,0.822477,1.0,0.010545,0.997047,0.377032
