target_family,reference_family,neighbor_consequence_state,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_executed_rows,target_observed_rows,reference_executed_rows,reference_observed_rows,target_class,reference_class,target_phases,reference_phases
dio_14mj,dio_14wi,reifende_verwandtschaft,0.017364,0.982636,3.991915,4.496005,5,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_14mj,dio_0x52,reifende_verwandtschaft,0.028501,0.971499,3.991915,3.99281,5,3,5,3,matured_action_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1tik,dio_0a54,reifende_verwandtschaft,0.104724,0.895276,1.81998,3.445308,4,4,6,4,direct_mature_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_14mj,dio_09jn,reifende_verwandtschaft,0.328866,0.671134,3.991915,3.44204,5,3,11,5,matured_action_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
dio_1tik,dio_0nmi,reifende_verwandtschaft,0.384794,0.615206,1.81998,6.770993,4,4,4,1,direct_mature_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2"
dio_1tik,dio_0qb3,reifende_verwandtschaft,0.470357,0.529643,1.81998,5.353388,4,4,9,3,direct_mature_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe2,sensor_relation_probe5,sensor_relation_probe5_variation"
dio_0xgj,dio_0nmi,beobachtete_verwandtschaft,0.090738,0.909262,0.0,6.770993,0,8,4,1,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2"
dio_1kqv,dio_09jn,beobachtete_verwandtschaft,0.112688,0.887312,0.0,3.44204,0,16,11,5,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
dio_0kpn,dio_0nmi,beobachtete_verwandtschaft,0.11504,0.88496,0.0,6.770993,0,8,4,1,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","order_shift,sensor_relation_probe2"
dio_1kqv,dio_1vm7,beobachtete_verwandtschaft,0.259902,0.740098,0.0,3.554517,0,16,3,2,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1kqv,dio_14mj,beobachtete_verwandtschaft,0.281916,0.718084,0.0,3.991915,0,16,5,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
dio_0xgj,dio_0x52,beobachtete_verwandtschaft,0.429006,0.570994,0.0,3.99281,0,8,5,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0xgj,dio_14wi,beobachtete_verwandtschaft,0.432486,0.567514,0.0,4.496005,0,8,5,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0kpn,dio_0x52,beobachtete_verwandtschaft,0.443994,0.556006,0.0,3.99281,0,8,5,3,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_0kpn,dio_09jn,beobachtete_verwandtschaft,0.447442,0.552558,0.0,3.44204,0,8,11,5,held_observation_pattern,matured_action_pattern,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_repeat"
