variant_reife_state,count,event_reward_sum,episode_count,avg_transfer_similarity,family_actions
variant_local_wait_context,6,0.0,18,0.0,"dio_0989:WAIT,dio_0b66:WAIT,dio_0gmg:WAIT,dio_0qze:WAIT,dio_1guc:WAIT,dio_1t1w:WAIT"
variant_related_observation_trace,2,0.0,6,0.933014219,"dio_173s:WAIT,dio_1rv1:WAIT"
variant_self_carried_action_trace,2,6.0,6,0.966011634,"dio_0hd3:SHORT,dio_0szn:SHORT"
