family_action,variant_reife_state,event_reward_sum,symbol_family,action,freshness_state,source_count,episode_count,run_count,outcome_events,avg_event_reward,phase_time_states,avg_phase_distance,avg_binding_pressure,avg_release_pressure,related_reference_family,related_reference_action,related_reference_outcome,transfer_reife_state,transfer_reife,transfer_similarity,transfer_event_relation,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,variant_reife_sentence
dio_0989:WAIT,variant_local_wait_context,0.0,dio_0989,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.398793,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0989:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_0b66:WAIT,variant_local_wait_context,0.0,dio_0b66,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0b66:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_0gmg:WAIT,variant_local_wait_context,0.0,dio_0gmg,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.518796,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0gmg:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_0qze:WAIT,variant_local_wait_context,0.0,dio_0qze,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0qze:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1guc:WAIT,variant_local_wait_context,0.0,dio_1guc,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1guc:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_1t1w:WAIT,variant_local_wait_context,0.0,dio_1t1w,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,,,,,0.0,0.0,,1,0,0,0,0,0,dio_1t1w:WAIT: Die Variante bleibt lokaler Wartungs-/Beobachtungskontext.
dio_173s:WAIT,variant_related_observation_trace,0.0,dio_173s,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,different_contact_afterimage:3,0.572586,0.0,1.0,dio_0arw,LONG,TP,transfer_reife_open,0.468628274,0.909548089,positive_to_neutral,1,0,0,0,0,0,"dio_173s:WAIT: Die Variante ist verwandt mit dio_0arw (similarity=0.909548), bleibt aber Beobachtung."
dio_1rv1:WAIT,variant_related_observation_trace,0.0,dio_1rv1,WAIT,fresh_local_episode_trace,1,3,3,NO_TRADE:3,0.0,no_prior_phase:3,1.0,0.0,1.0,dio_1txv,SHORT,TP,transfer_reife_open,0.486462533,0.95648035,positive_to_neutral,1,0,0,0,0,0,"dio_1rv1:WAIT: Die Variante ist verwandt mit dio_1txv (similarity=0.956480), bleibt aber Beobachtung."
dio_0hd3:SHORT,variant_self_carried_action_trace,3.0,dio_0hd3,SHORT,fresh_local_episode_trace,1,3,3,TP:3,1.0,no_prior_phase:3,1.0,0.0,1.0,dio_14xc,WAIT,NO_TRADE,transfer_reife_open,0.490084421,0.966011634,neutral_to_positive,1,0,0,0,0,0,dio_0hd3:SHORT: Die Variante traegt diese Handlung aus eigener Konsequenz; reward=3.000000.
dio_0szn:SHORT,variant_self_carried_action_trace,3.0,dio_0szn,SHORT,fresh_local_episode_trace,1,3,3,TP:3,1.0,executed_temporal_contact:3,0.702948,0.282051,0.996421,,,,,0.0,0.0,,1,0,0,0,0,0,dio_0szn:SHORT: Die Variante traegt diese Handlung aus eigener Konsequenz; reward=3.000000.
