run,tick,timestamp_ms,symbol,symbol_family,action,raw_action,outcome_event,reward,event_reward,contact_state,inner_state,memory_trust,memory_caution,memory_trust_minus_caution,memory_action_count,consequence_effect,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension,inner_sentence,source_file,passive_only
153,1,1767490300000000,dio_0c6oby6,dio_0c6o,LONG,LONG,SL,-1.0,-1.0,real_contact_burdened,inner_consequence_conflicted,0.459803,0.363944,0.095859,11,sl_caution_visible_but_not_dominant,0.05444,1.0,0.055143,0.98456,0.063445,"dio_0c6o: DIO sieht eine widerspruechliche Konsequenzspur; Kontakt=real_contact_burdened, Aktion=LONG, Event=SL, trust=0.459803, caution=0.363944.",debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,6,1767491800000000,dio_1qigcjr,dio_1qig,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.874202,1.0,-0.011927,0.99666,0.404548,dio_1qig: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,7,1767492100000000,dio_0vc85jd,dio_0vc8,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.483187,0.0,-0.183654,0.348577,0.383807,dio_0vc8: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,8,1767492400000000,dio_1g7l35z,dio_1g7l,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.077222,-1.0,-0.13539,-0.237909,0.163612,dio_1g7l: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,9,1767492700000000,dio_1k0rwi1,dio_1k0r,LONG,LONG,SL,-1.0,-1.0,real_contact_burdened,inner_consequence_conflicted,0.426211,0.363944,0.062267,8,sl_caution_visible_but_not_dominant,0.25469,0.0,-0.105623,0.370425,0.176003,"dio_1k0r: DIO sieht eine widerspruechliche Konsequenzspur; Kontakt=real_contact_burdened, Aktion=LONG, Event=SL, trust=0.426211, caution=0.363944.",debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,14,1767494200000000,dio_1t73pqz,dio_1t73,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.37545,0.0,-0.152016,0.357435,0.313919,dio_1t73: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,15,1767494500000000,dio_1q9bwwb,dio_1q9b,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.0554,-1.0,-0.113507,-0.231782,0.133698,dio_1q9b: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,16,1767494800000000,dio_0rb2qnk,dio_0rb2,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,0.033347,-1.0,-0.051115,-0.214312,0.076944,dio_0rb2: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,17,1767495100000000,dio_1jo7eef,dio_1jo7,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.044569,-1.0,0.140686,-0.239392,0.163189,dio_1jo7: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
153,18,1767495400000000,dio_1w4m0ap,dio_1w4m,WAIT,WAIT,NO_TRADE,0.0,0.0,observed_without_action,inner_consequence_quiet,0.0,0.0,0.0,3,no_trade_or_observation,-0.344651,0.0,0.165485,0.353664,0.253604,dio_1w4m: DIO sieht eine ruhige Beobachtungsspur; Kontakt=observed_without_action.,debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_153\episodes.csv,1
154,1,1767490300000000,dio_0c6oby6,dio_0c6o,LONG,LONG,SL,-1.0,-1.0,real_contact_burdened,inner_consequence_conflicted,0.459803,0.363944,0.095859,11,sl_caution_visible_but_not_dominant,0.05444,1.0,0.055143,0.98456,0.063445,"dio_0c6o: DIO sieht eine widerspruechliche Konsequenzspur; Kontakt=real_contact_burdened, Aktion=LONG, Event=SL, trust=0.459803, caution=0.363944.",debug\dio_mini_tp_sl_followup_probe16_conflict\dio_mini_lauf_154\episodes.csv,1
