symbol_family,development_state,maturation_state,count,runs,first_moment_state,last_moment_state,moment_path,binding_path,action_path,distinct_moment_count,reward_sum,event_reward_sum,development_sentence,passive_only
dio_0cgn,development_observation_to_carried,maturation_mixed_recurrence,3,"159,160,161",moment_quiet_observed,moment_carried,moment_quiet_observed -> moment_quiet_observed -> moment_carried,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_carried_contact,WAIT -> WAIT -> SHORT,2,1.0,1.0,dio_0cgn: Entwicklung von Beobachtung/Halten zu getragenem Kontakt; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_carried; Aktionen=WAIT -> WAIT -> SHORT; reward_sum=1.000000.,1
dio_04zi,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_04zi: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_06bd,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_06bd: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_0fa9,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_0fa9: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_0ojr,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_0ojr: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_0rb2,development_quiet_observation,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_0rb2: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_0ui9,development_quiet_observation,maturation_quiet_observation,2,"159,160",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT,1,0.0,0.0,dio_0ui9: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT.,1
dio_0vc8,development_quiet_observation,maturation_quiet_observation,1,161,moment_quiet_observed,moment_quiet_observed,moment_quiet_observed,multisensory_quiet_observation,WAIT,1,0.0,0.0,dio_0vc8: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed; Aktionen=WAIT.,1
dio_1g7l,development_quiet_observation,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_1g7l: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
dio_1jo7,development_quiet_observation,maturation_quiet_observation,3,"159,160,161",moment_quiet_observed,moment_quiet_observed,moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed,multisensory_quiet_observation -> multisensory_quiet_observation -> multisensory_quiet_observation,WAIT -> WAIT -> WAIT,1,0.0,0.0,dio_1jo7: ruhig beobachtet/gehalten; Pfad=moment_quiet_observed -> moment_quiet_observed -> moment_quiet_observed; Aktionen=WAIT -> WAIT -> WAIT.,1
