inner_state,contact_state,count,reward_sum,event_reward_sum,avg_reward,families,actions,outcome_events
inner_consequence_carried,real_contact_carried,10,10.0,10.0,1.0,"dio_02qu,dio_0arw,dio_0t0v,dio_1u7v,dio_1vpi","LONG,SHORT",TP
inner_consequence_quiet,held_impulse_without_action,6,0.0,0.0,0.0,"dio_00qb,dio_14xc,dio_1vpi",WAIT,NO_TRADE
inner_consequence_quiet,observed_without_action,1,0.0,0.0,0.0,dio_14xc,WAIT,NO_TRADE
