family_action,symbol_family,action,freshness_state,source_count,source_labels,run_count,episode_count,first_source,last_source,first_tick,last_tick,tick_span,phase_time_states,outcome_events,phase_active_count,avg_finite_phase_age,avg_bars_held,event_reward_sum,avg_event_reward,avg_phase_distance,avg_binding_pressure,avg_release_pressure,passive_only,influences_action,is_gate,is_motoric,time_summary_sentence
dio_04zi:WAIT,dio_04zi,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,5,5,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_04zi:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_06bd:WAIT,dio_06bd,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,3,3,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_06bd:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0cgn:WAIT,dio_0cgn,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,1,1,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0cgn:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0fa9:WAIT,dio_0fa9,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,2,2,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0fa9:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0ojr:WAIT,dio_0ojr,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,4,4,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0ojr:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0rb2:WAIT,dio_0rb2,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,16,16,0,different_contact_afterimage:3,NO_TRADE:3,0,7.0,,0.0,0.0,0.336723,0.0,1.0,1,0,0,0,dio_0rb2:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_0vc8:WAIT,dio_0vc8,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,7,7,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_0vc8:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1g7l:WAIT,dio_1g7l,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,8,8,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1g7l:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1jo7:WAIT,dio_1jo7,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,17,17,0,separated_observation_contact:3,NO_TRADE:3,0,8.0,,0.0,0.0,0.429812,0.0,1.0,1,0,0,0,dio_1jo7:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1q9b:WAIT,dio_1q9b,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,15,15,0,different_contact_afterimage:3,NO_TRADE:3,0,6.0,,0.0,0.0,0.304811,0.0,1.0,1,0,0,0,dio_1q9b:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1qig:WAIT,dio_1qig,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,6,6,0,no_prior_phase:3,NO_TRADE:3,0,,,0.0,0.0,1.0,0.0,1.0,1,0,0,0,dio_1qig:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
dio_1t73:WAIT,dio_1t73,WAIT,fresh_local_episode_trace,1,variant_probe16_f1,3,3,variant_probe16_f1,variant_probe16_f1,14,14,0,different_contact_afterimage:3,NO_TRADE:3,0,5.0,,0.0,0.0,0.230685,0.0,1.0,1,0,0,0,dio_1t73:WAIT: fresh_local_episode_trace; Quellen=variant_probe16_f1; Episoden=3; Outcome=NO_TRADE:3; RewardSumme=0.000000.
