debug_root,root_name,run,tick,symbol_family,action,raw_action,best_action_training,binding_state,binding_quality,episode_relation,phase_active,phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,score_wait,score_long,score_short,reward,best_reward_training,unrealized_best_reward,held_impulse_potential
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,1,dio_0c6o,LONG,LONG,SHORT,executed_misaligned,executed_contact_misaligned,none,0,9999,1.0,0.0,1.0,0.017386,1.141276,-0.05573,-1.788693,1.588693,1.588693,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,6,dio_1qig,WAIT,WAIT,LONG,observed_not_bound,observation_potential,different_contact,0,5,0.288799,0.0,1.0,0.052148,-0.068561,-0.067778,0.0,0.066533,0.066533,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,7,dio_0vc8,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,6,0.492441,0.0,1.0,0.057903,-0.068191,-0.070007,0.0,0.182486,0.182486,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,8,dio_1g7l,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,7,0.517603,0.0,1.0,0.062241,-0.069973,-0.068121,0.0,0.612534,0.612534,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,9,dio_1k0r,LONG,LONG,SHORT,executed_misaligned,executed_contact_misaligned,none,0,8,0.308442,0.0,1.0,0.025227,0.883872,-0.06399,-0.810979,0.610979,0.610979,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,14,dio_1t73,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,5,0.230685,0.0,1.0,0.057855,-0.067413,-0.06849,0.0,0.20018,0.20018,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,15,dio_1q9b,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,6,0.304811,0.0,1.0,0.062303,-0.070185,-0.067131,0.0,0.232734,0.232734,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,16,dio_0rb2,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,different_contact,0,7,0.336723,0.0,1.0,0.062811,-0.071362,-0.067092,0.0,0.233267,0.233267,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,17,dio_1jo7,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,none,0,8,0.429812,0.0,1.0,0.06371,-0.074984,-0.068902,0.0,0.184357,0.184357,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,133,18,dio_1w4m,WAIT,WAIT,SHORT,observed_not_bound,observation_potential,none,0,9,0.227155,0.0,1.0,0.058425,-0.070736,-0.068836,0.0,0.151712,0.151712,0.0
C:\Users\TV\Documents\MCM_Trading_Brain\debug\dio_mini_probe16_self_awareness_conflict\run,run,134,1,dio_0c6o,LONG,LONG,SHORT,executed_misaligned,executed_contact_misaligned,none,0,9999,1.0,0.0,1.0,0.034941,0.546163,0.017653,-1.788693,1.588693,1.588693,0.0
