run,tick,timestamp_ms,symbol_family,action,outcome_event,contact_state,inner_state,sight_state,hearing_state,feeling_state,binding_state,sehen_form_flow,sehen_form_stability,hoeren_energy_tone,fuehlen_mcm_coherence,fuehlen_mcm_tension,reward,event_reward,inner_sentence,passive_only
156,1,1767600300000000,dio_1u7v,SHORT,TP,real_contact_carried,inner_consequence_carried,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,multisensory_carried_contact,0.032622,1.0,0.039728,0.988876,0.040826,1.0,1.0,"dio_1u7v: sehen_stabile_form, hoeren_mittlere_spannung, fuehlen_koharent_ruhig; Innenlage=inner_consequence_carried, Kontakt=real_contact_carried, Aktion=SHORT; Bindung=multisensory_carried_contact.",1
156,6,1767601800000000,dio_0arw,LONG,TP,real_contact_carried,inner_consequence_carried,sehen_teilform,hoeren_leise,fuehlen_offen,multisensory_carried_contact,-0.447325,0.0,-0.00536,0.398499,0.275533,1.0,1.0,"dio_0arw: sehen_teilform, hoeren_leise, fuehlen_offen; Innenlage=inner_consequence_carried, Kontakt=real_contact_carried, Aktion=LONG; Bindung=multisensory_carried_contact.",1
156,11,1767603300000000,dio_14xc,WAIT,NO_TRADE,held_impulse_without_action,inner_consequence_quiet,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,multisensory_quiet_hold,0.822477,1.0,0.010545,0.997047,0.377032,0.0,0.0,"dio_14xc: sehen_geformte_bewegung, hoeren_leise, fuehlen_koharent_gespannt; Innenlage=inner_consequence_quiet, Kontakt=held_impulse_without_action, Aktion=WAIT; Bindung=multisensory_quiet_hold.",1
156,12,1767603600000000,dio_1vpi,SHORT,TP,real_contact_carried,inner_consequence_carried,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,multisensory_carried_contact,0.742634,1.0,-0.052832,0.985207,0.348372,1.0,1.0,"dio_1vpi: sehen_geformte_bewegung, hoeren_mittlere_spannung, fuehlen_koharent_gespannt; Innenlage=inner_consequence_carried, Kontakt=real_contact_carried, Aktion=SHORT; Bindung=multisensory_carried_contact.",1
156,17,1767605100000000,dio_02qu,LONG,TP,real_contact_carried,inner_consequence_carried,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,multisensory_carried_contact,0.291659,0.0,0.053713,0.38496,0.192154,1.0,1.0,"dio_02qu: sehen_teilform, hoeren_mittlere_spannung, fuehlen_offen; Innenlage=inner_consequence_carried, Kontakt=real_contact_carried, Aktion=LONG; Bindung=multisensory_carried_contact.",1
157,1,1767600300000000,dio_1u7v,SHORT,TP,real_contact_carried,inner_consequence_carried,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,multisensory_carried_contact,0.032622,1.0,0.039728,0.988876,0.040826,1.0,1.0,"dio_1u7v: sehen_stabile_form, hoeren_mittlere_spannung, fuehlen_koharent_ruhig; Innenlage=inner_consequence_carried, Kontakt=real_contact_carried, Aktion=SHORT; Bindung=multisensory_carried_contact.",1
157,6,1767601800000000,dio_0arw,LONG,TP,real_contact_carried,inner_consequence_carried,sehen_teilform,hoeren_leise,fuehlen_offen,multisensory_carried_contact,-0.447325,0.0,-0.00536,0.398499,0.275533,1.0,1.0,"dio_0arw: sehen_teilform, hoeren_leise, fuehlen_offen; Innenlage=inner_consequence_carried, Kontakt=real_contact_carried, Aktion=LONG; Bindung=multisensory_carried_contact.",1
157,11,1767603300000000,dio_14xc,WAIT,NO_TRADE,held_impulse_without_action,inner_consequence_quiet,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,multisensory_quiet_hold,0.822477,1.0,0.010545,0.997047,0.377032,0.0,0.0,"dio_14xc: sehen_geformte_bewegung, hoeren_leise, fuehlen_koharent_gespannt; Innenlage=inner_consequence_quiet, Kontakt=held_impulse_without_action, Aktion=WAIT; Bindung=multisensory_quiet_hold.",1
157,12,1767603600000000,dio_1vpi,SHORT,TP,real_contact_carried,inner_consequence_carried,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,multisensory_carried_contact,0.742634,1.0,-0.052832,0.985207,0.348372,1.0,1.0,"dio_1vpi: sehen_geformte_bewegung, hoeren_mittlere_spannung, fuehlen_koharent_gespannt; Innenlage=inner_consequence_carried, Kontakt=real_contact_carried, Aktion=SHORT; Bindung=multisensory_carried_contact.",1
157,17,1767605100000000,dio_02qu,LONG,TP,real_contact_carried,inner_consequence_carried,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,multisensory_carried_contact,0.291659,0.0,0.053713,0.38496,0.192154,1.0,1.0,"dio_02qu: sehen_teilform, hoeren_mittlere_spannung, fuehlen_offen; Innenlage=inner_consequence_carried, Kontakt=real_contact_carried, Aktion=LONG; Bindung=multisensory_carried_contact.",1
