"symbol_family","probe25_context","probe26_context","probe25_reife","probe26_reife","transfer_state"
"dio_1ekt","recurrence_context_meaning_near","recurrence_context_meaning_near","sinnnah_variantenfaehig","sinnnah_variantenfaehig","same_context"
"dio_0x52","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_0fvj","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_15gs","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_19mp","recurrence_context_meaning_near","recurrence_context_meaning_near","sinnnah_variantenfaehig","sinnnah_variantenfaehig","same_context"
"dio_1ull","recurrence_context_meaning_near","recurrence_context_meaning_near","sinnnah_variantenfaehig","sinnnah_variantenfaehig","same_context"
"dio_067m","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_0qym","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_1215","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_1aqj","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_1mrs","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_1noq","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_1xfw","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_05k3","recurrence_context_meaning_near","recurrence_context_meaning_near","sinnnah_variantenfaehig","sinnnah_variantenfaehig","same_context"
"dio_1hs5","recurrence_context_meaning_near","recurrence_context_meaning_near","sinnnah_variantenfaehig","sinnnah_variantenfaehig","same_context"
"dio_1bwy","recurrence_context_meaning_near","-","sinnnah_variantenfaehig","-","family_missing_in_probe26"
"dio_04kx","recurrence_context_time_fragile","-","zeitfragil_aber_richtungserhaltend","-","family_missing_in_probe26"
"dio_1lno","recurrence_context_reorganizing","-","instabil_neuordnend","-","family_missing_in_probe26"
