symbol_family,action,outcome_event,event_count,event_reward_sum,event_avg_reward,memory_family_count,memory_action_count,memory_reward_sum,memory_avg_reward,memory_trust,memory_caution,memory_trust_minus_caution,memory_last_reward,memory_timing_improvement_sum,consequence_effect,passive_only
dio_0igh,WAIT,NO_TRADE,1,0.0,0.0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_143d,WAIT,NO_TRADE,1,0.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_14xc,WAIT,NO_TRADE,1,0.0,0.0,23,23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_16yc,WAIT,NO_TRADE,1,0.0,0.0,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1g2t,WAIT,NO_TRADE,1,0.0,0.0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1qwp,WAIT,NO_TRADE,1,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_1txv,WAIT,NO_TRADE,2,0.0,0.0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,no_trade_or_observation,1
dio_0fiy,LONG,SL,1,-1.0,-1.0,4,4,0.249721,0.06243,0.079286,0.14,-0.060714,-1.0,0.00554,sl_caution_dominant,1
dio_02qu,LONG,TP,3,3.0,1.0,9,9,5.010461,0.556718,0.490679,0.0,0.490679,1.0,0.008511,tp_trust_visible,1
dio_0arw,LONG,TP,1,1.0,1.0,15,15,17.98703,1.199135,1.0,0.0,1.0,1.0,0.025737,tp_trust_visible,1
dio_0x1o,LONG,TP,1,1.0,1.0,3,3,2.500409,0.83347,0.239099,0.0,0.239099,1.0,0.001579,tp_trust_visible,1
dio_16yc,SHORT,TP,1,1.0,1.0,5,5,2.087082,0.417416,0.209188,0.0,0.209188,1.0,0.001375,tp_trust_visible,1
dio_1txv,SHORT,TP,1,1.0,1.0,3,3,2.1,0.7,0.212653,0.0,0.212653,1.0,0.000782,tp_trust_visible,1
dio_1vpi,SHORT,TP,3,3.0,1.0,21,15,7.413749,0.49425,0.590538,0.083972,0.506566,1.0,0.048947,tp_trust_visible,1
