target_family,reference_family,sensor_distance,sensor_similarity,target_reward_sum,reference_reward_sum,target_phases,reference_phases,target_executed_rows,reference_executed_rows,target_observed_rows,reference_observed_rows
dio_0eh8,dio_0nmi,0.07339,0.92661,0.742752,6.770993,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt","order_shift,sensor_relation_probe2",1,4,5,1
dio_0eh8,dio_1tik,0.424195,0.575805,0.742752,3.63996,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",1,8,5,4
dio_0eh8,dio_0wv3,0.434142,0.565858,0.742752,3.540907,"sensor_relation_probe4,sensor_relation_probe8_negativkontakt","sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt",1,9,5,3
dio_0wv3,dio_0x52,0.03277,0.96723,3.540907,3.99281,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt","sensor_relation_probe5,sensor_relation_probe5_repeat",9,5,3,3
dio_0wv3,dio_14wi,0.045162,0.954838,3.540907,4.496005,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt","sensor_relation_probe4,sensor_relation_probe4_repeat",9,5,3,3
dio_0wv3,dio_14mj,0.060035,0.939965,3.540907,7.185447,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",9,9,3,3
dio_14eb,dio_1vm7,0.108066,0.891934,2.841602,3.554517,sensor_relation_probe8_negativkontakt,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,3,2,2
dio_14eb,dio_09jn,0.113349,0.886651,2.841602,4.693512,sensor_relation_probe8_negativkontakt,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",2,15,2,5
dio_14eb,dio_0wv3,0.353898,0.646102,2.841602,3.540907,sensor_relation_probe8_negativkontakt,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt",2,9,2,3
dio_16kb,dio_1tik,0.090747,0.909253,0.0,3.63996,sensor_relation_probe8_negativkontakt,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,8,4,4
dio_16kb,dio_0a54,0.188079,0.811921,0.0,3.445308,sensor_relation_probe8_negativkontakt,"sensor_relation_probe3,sensor_relation_probe4,sensor_relation_probe4_repeat",0,6,4,4
dio_16kb,dio_0nmi,0.303638,0.696362,0.0,6.770993,sensor_relation_probe8_negativkontakt,"order_shift,sensor_relation_probe2",0,4,4,1
dio_1ayy,dio_0wv3,0.405691,0.594309,0.0,3.540907,sensor_relation_probe8_negativkontakt,"sensor_relation_probe6_variation,sensor_relation_probe7_belastung,sensor_relation_probe8_negativkontakt",0,9,4,3
dio_1ayy,dio_0x52,0.422416,0.577584,0.0,3.99281,sensor_relation_probe8_negativkontakt,"sensor_relation_probe5,sensor_relation_probe5_repeat",0,5,4,3
dio_1ayy,dio_14wi,0.427018,0.572982,0.0,4.496005,sensor_relation_probe8_negativkontakt,"sensor_relation_probe4,sensor_relation_probe4_repeat",0,5,4,3
dio_1kqv,dio_09jn,0.113465,0.886535,0.0,4.693512,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,15,20,5
dio_1kqv,dio_1vm7,0.260959,0.739041,0.0,3.554517,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat",0,3,20,2
dio_1kqv,dio_14mj,0.282508,0.717492,0.0,7.185447,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat","sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",0,9,20,3
