family,run_count,first_run,last_run,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,max_trade_readiness,max_mature_transfer,transition
dio_1vm7,4,72,75,2,2,0,2,2.369678,0.166068,0.070905,observation_to_execution
dio_0x52,4,72,75,1,3,0,1,0.798562,0.067184,0.067184,observation_to_execution
dio_0qb3,4,72,75,4,0,0,4,2.42258,0.324496,0.064581,persistent_execution
dio_09jn,4,72,75,0,4,0,0,0.0,0.028768,0.028768,stable_observation
dio_0e10,4,72,75,0,4,0,0,0.0,0.03819,0.03819,stable_observation
dio_18jg,4,72,75,0,4,0,0,0.0,0.038592,0.038592,stable_observation
dio_1kqv,4,72,75,0,4,0,0,0.0,0.021735,0.021735,stable_observation
dio_09dp,3,72,74,0,3,0,0,0.0,0.0275,0.0275,stable_observation
dio_15bt,3,72,74,0,3,0,0,0.0,0.004859,0.004859,stable_observation
dio_1tsz,3,72,74,0,3,0,0,0.0,0.019335,0.019335,stable_observation
dio_1xfl,3,72,74,0,3,0,0,0.0,0.009028,0.009028,stable_observation
dio_16yf,2,72,73,0,2,0,0,0.0,0.018884,0.018884,stable_observation
dio_18fu,2,72,73,0,2,0,0,0.0,0.016349,0.016349,stable_observation
dio_1nky,2,72,73,0,2,0,0,0.0,0.017024,0.017024,stable_observation
